"gene","module"
"CACNA1E","Mid"
"OSBPL7","Mid"
"LAMA1","Mid"
"AC099489.1","Mid"
"USH2A","Mid"
"ADAMTS9","Mid"
"CSMD1","Mid"
"RYR2","Mid"
"AC006254.1","Mid"
"LINC00320","Mid"
"FBN2","Mid"
"TPRG1","Mid"
"MGST1","Mid"
"CPB2-AS1","Mid"
"SAMMSON","Mid"
"SLC1A4","Mid"
"TLCD3B","Mid"
"LINC00499","Mid"
"CSMD3","Mid"
"CSMD2","Mid"
"GABRG2","Mid"
"DCC","Mid"
"KIF5C","Mid"
"GAS6-AS1","Mid"
"AL589740.1","Mid"
"MIR3976HG","Mid"
"TNMD","Mid"
"DCDC1","Mid"
"NRXN1","Mid"
"LYZ","Mid"
"DNAH10","Mid"
"AL031595.2","Mid"
"ST18","Mid"
"DNAH14","Mid"
"TNR","Mid"
"DNAH7","Mid"
"WDR87","Mid"
"TEX41","Mid"
"LINC00534","Mid"
"PAX6","Mid"
"CFTR","Mid"
"NRG1","Mid"
"AC007952.4","Mid"
"DNAH6","Mid"
"MGAT4C","Mid"
"SILC1","Mid"
"LINC00299","Mid"
"COL25A1","Mid"
"AC007614.1","Mid"
"SLC12A1","Mid"
"ASB5","Mid"
"COL6A5","Mid"
"NYAP2","Mid"
"LAPTM5","Mid"
"EYS","Mid"
"HSD52","Mid"
"ABCA12","Mid"
"EDA2R","Mid"
"CCDC168","Mid"
"CAPN6","Mid"
"ACSM2B","Mid"
"CTXND1","Mid"
"AL133166.1","Mid"
"DGKI","Mid"
"TTC9","Mid"
"LINC02822","Mid"
"CLU","Mid"
"CADPS","Mid"
"ERICH3","Mid"
"MED12L","Mid"
"TRPM3","Mid"
"SLCO1A2","Mid"
"HULC","Mid"
"LINC00343","Mid"
"SLC8A1-AS1","Mid"
"AC068631.1","Mid"
"KLB","Mid"
"PCA3","Mid"
"LINC01435","Mid"
"DLX6-AS1","Mid"
"CDKN2B-AS1","Mid"
"NEXN-AS1","Mid"
"AKAP12","Mid"
"SESN3","Mid"
"AC100803.4","Mid"
"GPAM","Mid"
"PKHD1L1","Mid"
"PVT1","Mid"
"GCNT2","Mid"
"OPRM1","Mid"
"LINC01837","Mid"
"LINC02532","Mid"
"SNTG1","Mid"
"CACNB4","Mid"
"MIR924HG","Mid"
"MYOD1","Mid"
