sample_id,ES_positive,ES_control,CPS,CPS_zscore,subgroup,CPS_class
AB_28,-0.6520322500200213,-0.6620381204700784,0.010005870450057075,0.022138468383490224,Pancreas,CPS-LowOrMid
AB_29,0.09239050451264899,-0.21639246656195324,0.30878297107460223,0.6831971367824677,Colorectal,CPS-High
AB_30,0.16191860731086727,0.5675142312179413,-0.40559562390707404,-0.8973997755785039,Colorectal,CPS-LowOrMid
AB_31,-0.11619003212946095,-0.387702792563859,0.27151276043439804,0.6007350077730441,Pancreas,CPS-High
AB_32,-0.4357536716967482,-0.33677442684231923,-0.098979244854429,-0.218996327582777,Colorectal,CPS-LowOrMid
AB_33,-0.3219551700362901,-0.6907199505548909,0.3687647805186008,0.8159097676913489,Colorectal,CPS-High
AB_34,-0.37392534750583045,-0.011068402659693352,-0.3628569448461371,-0.8028383978487637,Pancreas,CPS-LowOrMid
AB_35,-0.6168732962044744,-0.38638738791934873,-0.23048590828512566,-0.5099611292070253,Colorectal,CPS-LowOrMid
AB_36,-0.14668933846080903,0.1183845941692546,-0.2650739326300636,-0.5864887923653501,Pancreas,CPS-LowOrMid
AB_37,-0.4161023251611267,-0.5950165099155653,0.1789141847544386,0.3958562168393351,Colorectal,CPS-LowOrMid
AB_38,-0.4275143071569661,-0.19522609021536005,-0.23228821694160603,-0.5139488235718424,Colorectal,CPS-LowOrMid
AB_39,-0.2744649406458722,-0.33091285350328076,0.05644791285740858,0.1248937151790356,Pancreas,CPS-LowOrMid
AB_40,-0.18176068546043797,0.4985311273678675,-0.6802918128283054,-1.505178271597637,Colorectal,CPS-LowOrMid
AB_41,-0.16227179399173505,-0.010892956519963371,-0.1513788374717717,-0.33493294002014856,Pancreas,CPS-LowOrMid
AB_42,-0.15510462270308512,-0.23353755872860693,0.07843293602552182,0.17353663362845462,Pancreas,CPS-LowOrMid
AB_43,0.008755972476335817,-0.28530320287002336,0.29405917534635917,0.6506200323874354,Colorectal,CPS-High
AB_44,-0.37998193880709613,-0.0467800765447783,-0.33320186226231785,-0.7372251049854792,Pancreas,CPS-LowOrMid
AB_45,0.20825514626321898,0.050719749470664155,0.15753539679255482,0.3485546228666879,Pancreas,CPS-LowOrMid
AB_46,-0.10161987287682578,-0.1889819855361011,0.08736211265927532,0.19329286529102077,Pancreas,CPS-LowOrMid
AB_47,-0.5794295333338196,-0.40625347885062607,-0.17317605448319356,-0.3831603283382422,Colorectal,CPS-LowOrMid
AB_48,-0.23334645662577558,-0.17141093084357883,-0.06193552578219674,-0.13703532203299654,Colorectal,CPS-LowOrMid
AB_49,-0.17426791172323094,-0.5793498520083625,0.40508194028513156,0.8962632259219543,Pancreas,CPS-High
AB_50,-0.30615596062864275,-0.17502630453832038,-0.13112965609032237,-0.2901306547974551,Pancreas,CPS-LowOrMid
AB_51,0.17544333875089707,1.060762516313077,-0.8853191775621798,-1.9588111518719695,Colorectal,CPS-LowOrMid
AB_52,0.6507008479978141,1.2424195363340993,-0.5917186883362852,-1.309205984530662,Colorectal,CPS-LowOrMid
AB_53,-0.015178946986924477,-0.28765756572609075,0.2724786187391663,0.6028720156075721,Pancreas,CPS-High
AB_54,-0.16045237559974673,0.11276590170047353,-0.27321827730022025,-0.6045085456576268,Colorectal,CPS-LowOrMid
AB_55,-0.2778070911834021,-0.2602752448541243,-0.01753184632927779,-0.03879005106074655,Pancreas,CPS-LowOrMid
AB_56,-0.2918642009237548,-0.8231244104939304,0.5312602095701755,1.1754386998792992,Colorectal,CPS-High
