gene,log2FC,p_value,FDR,baseMean,lfcSE,stat
AC092919.1,1.263843545807168,0.000783341093334208,0.0035540236122353,3.8859736611824354,0.3749796522584721,3.3586150369084518
ERMN,1.0973942709397988,0.0007838326741777704,0.0035542985927063,12.736350948237554,0.3265624933460879,3.3584416511744
SOHLH1,1.422958238527862,0.0007838813757422918,0.0035542985927063,4.118173601537518,0.4218663085828195,3.35842447911593
AP002833.1,1.4103115168099736,0.0007838989732976422,0.0035542985927063,3.688573707880284,0.4179154869139909,3.358418274502372
LINC01436,1.3105254187503232,0.0007835649194819257,0.0035542985927063,3.9725566366262823,0.3889128845074101,3.3585360785517016
SH2D1A,0.7484290122000439,0.000784609506699446,0.0035570689522294,13.178045241419134,0.2228008990290448,3.358167859846477
HSH2D,0.911286610361568,0.0007847447684343398,0.0035572309150566,16.185391583876427,0.2712782929747503,3.35812021314346
DBF4,0.3661733433900564,0.0007853918462045105,0.0035597125934884,52.31066203428568,0.1090496001991434,3.3578923817878668
AL009178.3,1.452153730370284,0.000786556109300846,0.0035645374377623,1.9671925460141049,0.4277745663965038,3.357482891672241
AC015819.1,1.3452663908467557,0.0007872090043702628,0.0035670439201451,1.6053255453166326,0.3955580629703622,3.3572535040868363
AC022440.1,1.2057551439140766,0.0007873295325348877,0.003567137783181,5.04328713479012,0.3581912309806971,3.357211177135768
AL442163.1,1.5704325534434098,0.0007879555218985577,0.0035695214148321,2.286612265316816,0.4627121728079523,3.356991439552678
AC232271.3,1.3559096457494406,0.0007880742022057505,0.0035696065701431,5.721025338588921,0.4029592087281111,3.3569497981335257
ZNF722P,1.554905590580823,0.0007888942313126185,0.0035728680824547,4.404665867564585,0.4610939939587499,3.3566622330571425
AC092881.2,1.3904294945264393,0.0007892443250387049,0.0035740007207594,4.907478250092979,0.4127956677180279,3.3565395478548683
AC011498.1,1.3044019183157596,0.0007894129200921142,0.0035742848456339,3.1034460867058606,0.3868202163097288,3.356480484213964
LINC01747,1.3935847041138365,0.00078950709528889,0.0035742848456339,7.430832060204849,0.4143853796859,3.3564474970611675
