gene,log2FC,p_value,FDR,baseMean,lfcSE,stat
AC024560.5,2.100199699474265,1.1902539502173185e-08,1.7708472828785084e-05,10.328873730089144,0.3665389035770677,5.701116297414958
CR382287.1,2.3661116888215297,1.1925150846732231e-08,1.7708472828785084e-05,4.158231066240341,0.4068238473406415,5.700792805601171
SIRPG-AS1,2.380230679408082,1.2644466720858284e-08,1.7708472828785084e-05,4.115823329452178,0.4098412774100456,5.690801182863608
AC007529.1,1.6142484568215385,1.2883213765415306e-08,1.7708472828785084e-05,8.467749665925083,0.2829075784922443,5.687606661043678
AURKB,1.7917697940519546,1.3802993095546531e-08,1.800638869715032e-05,6.18641729617424,0.3138911758512717,5.675814949059774
C1orf94,2.073010330776085,1.4107641264766044e-08,1.800638869715032e-05,7.545474163741013,0.3630874410614344,5.672077150520808
CDCA2,1.3973013048246374,1.627676090765033e-08,1.9212652310656325e-05,17.79531308885906,0.2471774738965868,5.647531932980057
NELL2,1.516080403241803,1.6700160986963355e-08,1.9212652310656325e-05,27.978171384937127,0.2684520417805808,5.643114079761332
SPATA17,1.3125131879791414,1.69744340815046e-08,1.9212652310656325e-05,20.077671583523365,0.2325475617489759,5.640309939693149
AC026341.3,1.522857677151754,1.720311360291573e-08,1.9212652310656325e-05,11.90298408561688,0.2696422370210192,5.638005379601445
PLEK2,1.8080588476788548,2.2954437641333893e-08,2.399902682288852e-05,6.230003069563392,0.3215531941058955,5.588117454189649
AL158077.2,2.1853992076306423,2.3767389764932537e-08,2.399902682288852e-05,4.677196368491398,0.3861389951422371,5.582069106129992
PACRG-AS1,1.964335213803969,2.459786298649481e-08,2.399902682288852e-05,14.140003394455375,0.351268479779417,5.576094293743214
LINC02112,1.8711282778399712,2.5334815198767404e-08,2.399902682288852e-05,13.654830251948932,0.3350122985670016,5.570954045870601
SPATA3-AS1,2.3029713417536377,2.5434445537066432e-08,2.399902682288852e-05,5.694223598431461,0.4086129318585791,5.570270285937705
PCAT1,1.1243580152668728,2.6043091588991414e-08,2.399902682288852e-05,67.11043749583763,0.2019743486483416,5.566148774833043
LINC00523,2.364406188695239,2.7175922878417853e-08,2.399902682288852e-05,4.812984674054556,0.4187106882319268,5.558720660612086
AC015909.4,2.3217039857481607,2.7350461128143186e-08,2.399902682288852e-05,2.656287050264057,0.4038044893280703,5.557602987099922
OTOR,2.2009086750441487,2.7532601145515397e-08,2.399902682288852e-05,7.10681057022132,0.3929212899236456,5.556443990548951
AC005906.2,1.8536111089465173,3.0178570960883146e-08,2.512510926986248e-05,20.311670837580497,0.3339951235017161,5.540397574663663
AL645939.5,1.935187117224948,3.023055847009028e-08,2.512510926986248e-05,4.170373079884048,0.3451724521022776,5.54009617056971
AC188617.2,2.124937102025844,3.5169904290930425e-08,2.8565955444301623e-05,3.529244993033661,0.3785738166756892,5.513534006352814
AL512308.1,1.790560666825806,3.814671379959508e-08,3.0295272394887317e-05,7.367714452373152,0.3240513430405506,5.49922360701226
KIF14,1.764050932704311,3.9586491262868134e-08,3.075526140766046e-05,25.96029481587662,0.3207867397554647,5.492686605206545
MOBP,1.7276748502922088,4.4332497862410975e-08,3.219997322413456e-05,24.25977463940869,0.3153361979091379,5.472662078597112
CYP1A1,1.7541153322919891,4.499152357492909e-08,3.219997322413456e-05,14.162167691988408,0.4503116164083653,5.470047400042852
CFAP45,1.7926357991306952,4.514318845034476e-08,3.219997322413456e-05,13.085589614755152,0.3269421683744893,5.469450928433152
AP001981.2,1.535845023999173,4.563593230693182e-08,3.219997322413456e-05,8.075523013745814,0.2800345473007309,5.467526373770561
SH2D6,2.0839197179858067,4.5951050266687074e-08,3.219997322413456e-05,5.965801734664877,0.3778801477951609,5.466306121767046
TBX4,1.8561224834279064,4.7585212821723934e-08,3.270385261197634e-05,6.995932764334696,0.3381099027772653,5.460105351531296
IL1RL2,1.2904790812597329,5.129875133510372e-08,3.3940250654184336e-05,16.46306501158649,0.2367277279864079,5.446749073164595
LINC01618,2.0943099519787145,5.32611477067984e-08,3.3940250654184336e-05,6.486429087895094,0.3818234052164679,5.440064958059657
CCDC173,1.882804418130458,5.3577793696329363e-08,3.3940250654184336e-05,9.913659088716043,0.3448542230519756,5.439008851115689
DLGAP2,1.592141427648151,5.4120870648253866e-08,3.3940250654184336e-05,28.837855402659645,0.2926004371137184,5.437211536025644
TFAP2A-AS1,2.2032143041128345,5.413269593397803e-08,3.3940250654184336e-05,3.5169896105758456,0.3972756673726315,5.437172594948228
AC025822.2,2.093195498276281,5.625487083350966e-08,3.409852536027006e-05,4.892145525895112,0.3811294044254728,5.430314357800855
AC011995.2,1.8232398695002685,5.6293385087468077e-08,3.409852536027006e-05,12.60834347719561,0.334887662521307,5.430192221874091
PCDH10,1.323485118078814,5.826425749264262e-08,3.425913016599036e-05,25.672331866506774,0.2438797065360225,5.42404789986795
GRM8,1.7693197642576897,5.847576641461224e-08,3.425913016599036e-05,22.937252116886004,0.3258221523743267,5.423400515871274
LINC01204,1.9614084921154868,6.087701521154514e-08,3.494535745086934e-05,11.615979613909351,0.3608828338487607,5.416205836574303
AC011303.1,2.280372148032192,6.297946166329042e-08,3.494535745086934e-05,4.389682096778609,0.4143363463252678,5.41012872871344
