Cluster,gene,log2FC,p_value,FDR,baseMean,lfcSE,stat
0,PTOV1-AS2,-0.06558967174876057,0.31474880128908433,0.36656115471530576,74.44931670095278,0.06524267704892374,-1.0053075072896218
0,AL162258.2,-0.19018391691764705,0.3148327170535276,0.36664697511869015,6.718277906632085,0.18915299378805617,-1.005133196679731
0,CBLN4,-0.18012415445036906,0.31493843806924987,0.3667581830190312,30.59453676218811,0.17923020402873666,-1.004913635463426
0,VPS36,0.04482308839850129,0.314998093654657,0.3668157404348076,1080.0668322477434,0.04460941384659239,1.0047897642279524
0,ARL6IP5,0.05385578066822753,0.3150209975057555,0.3668304980536152,2526.665908648468,0.05360160418156812,1.0047422098543557
0,C1GALT1,0.04737695302304071,0.3150556407990949,0.3668589244236019,488.39948217447335,0.04715670178301,1.0046702856514365
0,TRIM27,-0.04524647923519293,0.3153288138097894,0.3671650900902802,355.7842433770176,0.0450614433036695,-1.0041033231807712
0,WNT9A,-0.20568768803607768,0.3153789248524275,0.3672115136255046,430.2922920462568,0.2048718697253153,-1.0039993542310943
0,TM9SF1,-0.08975157725607492,0.31539714115454204,0.36722079870420865,24.587746099840597,0.08939311475008158,-1.0039615622610771
0,AL390719.2,-0.5470621992890872,0.3154195187779625,0.3672349281005275,0.35724364629684513,0.5400711881796726,-1.003915139078278
0,HS1BP3,-0.04795839534407511,0.3155325337610662,0.3673545799267146,252.82622510255317,0.04778235361719185,-1.0036807184877716
0,AL844908.2,-0.4444837775925736,0.3156109974112754,0.3674339993564932,1.0611229932637547,0.4426010042440111,-1.0035179982080136
0,CHMP5,-0.05033979686407434,0.3157082156097028,0.3675352469458714,167.79032122850174,0.0501731083443457,-1.0033164210308096
0,LY6E,-0.1088267535567648,0.3159645124607795,0.3678216751390016,179.8257331020494,0.10852272237329166,-1.0027851973576016
0,AC013799.1,-0.4853692847239378,0.3159855835105975,0.367834261769828,0.7838713858496957,0.4939470485726426,-1.0027415362120256
0,LRP5,-0.05356144103203728,0.3161812335527169,0.3680500658734064,548.1104777047523,0.05343649970842898,-1.0023362226402095
0,AC099506.1,0.10344159341876992,0.3162339846068869,0.3680995201142722,117.72958102065736,0.10321343266845676,1.0022269704033528
0,AC135457.1,-0.4198383955069936,0.31627074923508036,0.3681207207241816,1.8498253281978905,0.4192812694546853,-1.002150834583905
0,DHRS4,0.11079234031766974,0.3162727318897898,0.3681207207241816,76.26398428158781,0.11055687795629524,1.0021467288719987
0,RHOBTB2,0.08211801973882321,0.3163603365343544,0.3682104274866284,883.4125528738612,0.08195701995699779,1.0019653326857034
0,PDE7B,-0.08122112498449523,0.31637034275779,0.3682104274866284,312.93175731643277,0.08106319491332556,-1.0019446156678558
0,AC016026.1,0.11411730011987142,0.3164541428338733,0.368296004002484,21.162039862597815,0.11391669237115788,1.0017711317560742
0,ITIH4,-0.21356159944459724,0.3167410475242596,0.3686179447233706,123.33687858574464,0.21332076946850684,-1.001177406441047
0,AC092171.4,0.13557164363651578,0.3167653833305923,0.3686343011787857,20.411414339417146,0.13542190660380032,1.0011270617572818
0,ZNF668,0.06173406360920576,0.31694125337910867,0.3688269981470235,82.61361233407943,0.06168726188373398,1.0007633061095167
0,RUSF1,-0.06243963663730098,0.3169916634221129,0.368873688562893,271.124299222201,0.06239825145549035,-1.0006590663930328
0,GIMAP7,-0.1035530376943255,0.317119849409572,0.3690108785441275,62.71537646807658,0.10351017311893246,-1.0003940477208288
0,AC073476.2,-0.12743210545709044,0.3171443134761398,0.3690238068424787,36.6215194886392,0.12738761745617308,-1.0003434773648996
0,OGFRL1,0.06360378793088894,0.31715154393671685,0.3690238068424787,797.6531814187224,0.06358295365654008,1.0003285315674797
0,LANCL2,0.05411837890803896,0.3171875778846704,0.3690537579521955,212.5175971655003,0.05410490552560997,1.0002540505585675
0,POLD2,0.06540568729837958,0.31730704816051764,0.3691807837166291,799.4597450619098,0.06540522196998914,1.000007149035839
0,DIO3,0.14268114693760228,0.3174460859558899,0.36931858308019183,19.236470694637184,0.1427298509116503,0.9997198853142314
0,ZNF79,-0.07960089440138837,0.31743651707964765,0.36931858308019183,115.4398766831449,0.07962113322123367,-0.9997396527698882
0,SLC37A1,0.08591159452920519,0.31769345362341395,0.3695943796128328,191.94882094593584,0.08597979630785202,0.9992090068593686
0,DTX3,-0.08247748769942385,0.3178345323549067,0.36974650911992407,137.35848246937437,0.08256598271210795,-0.9989177593980528
0,AC022960.2,0.10449752770685151,0.3180291010613705,0.3699608532397456,25.34133830933195,0.10465738754235927,0.9985162244734423
0,ELMOD3,-0.05833239511241972,0.3180751806934089,0.3700024528359399,372.2195996454895,0.05842448255712407,-0.998421152687784
0,MAPK1,0.04441672688948592,0.31844029695707815,0.3704151585581377,2602.7221639601753,0.04452055082958433,0.9976681613268352
0,AC104985.1,-0.49572585182399953,0.3185947909052364,0.37057082423626975,1.071626952126126,0.5068813371858826,-0.9973497136065834
0,AC010789.1,-0.354268747219082,0.31858640099970387,0.37057082423626975,3.083004960032706,0.3554047382433763,-0.9973670045430706
0,AKR1B15,0.17850215665153707,0.3187179341750966,0.37067248956957,132.48517528399017,0.1790192034883198,0.9970959592957886
0,AC009159.3,-0.16348977866816605,0.3187235491125322,0.37067248956957,18.18278671334225,0.16396140817583246,-0.9970843904450304
0,RPS27L,-0.06647759047348845,0.3187008374128373,0.37067248956957,417.44158413679537,0.06666855168211754,-0.9971311857801012
0,SYNJ1,0.03716177519302824,0.31871185383950335,0.37067248956957,479.8241909958578,0.03726950972793208,0.9971084871896256
0,ETFA,0.06353022791887214,0.3187898292044488,0.3707375474725281,1578.7222826755765,0.06372475910368018,0.9969478389906856
0,SLC25A29,0.0747821609219928,0.3189405056117068,0.3709007469093068,290.71944643173987,0.0750347158556757,0.9966374818516962
0,TEX54,-0.5617552590693521,0.3190233608384534,0.3709610054439029,0.31002903817627486,0.5584969568725302,-0.9964668609243624
0,AL360091.1,0.1737330721461828,0.3190056465405596,0.3709610054439029,22.09206854779694,0.17434713273966956,0.996503336932492
0,AC008608.2,0.14103046102127367,0.3190204181350851,0.3709610054439029,11.766515615690922,0.14154138750889114,0.9964729202356576
0,FOXP2,0.08142011235472371,0.3191378613324666,0.37108211240354094,880.3318507734318,0.08172826958683206,0.9962311217155928
0,EGFL7,0.08830717079602865,0.3191895541840584,0.3711301833923344,555.5002116681716,0.08865074675353352,0.996124712085779
0,CWF19L2,-0.04693739373066388,0.3192362164768736,0.3711724022886797,318.8173477614108,0.04712458353346599,-0.9960286675361172
0,SACS,-0.09387399322489376,0.31940404172814935,0.371355488704653,4587.229517355604,0.094280923636942765,-0.9956833103529074
0,LAGE3,0.08728933388727271,0.3194546843930027,0.3714023251916702,46.83767609369626,0.0876778017958239,0.995579119274002
0,FZD10,-0.1951542482245606,0.3195039160528009,0.37144751824108085,16.340676801537242,0.1960059666796788,-0.9954778415243908
0,AC006538.1,0.1783672969752738,0.31954858797758834,0.37148740749421016,6.238441942716083,0.1792409368340915,0.9953859527467468
0,ENTR1,0.04868093078986914,0.3197630321160756,0.3717246544279704,222.35556428921765,0.04892829298921484,0.9949449646975916
0,AC099499.2,-0.3705540126534608,0.31981323785321,0.3717709649600196,2.632062337488804,0.3728761846942052,-0.9948417483699824
0,AC005277.1,-0.21693643132401377,0.3198330617276613,0.3717819558516874,3.9293951325933945,0.2179756127987563,-0.994800996035513
0,PSMD9,0.06296194794967715,0.3199700354654408,0.3719291195491597,136.53090233476027,0.06330945457743854,0.9945194615206896
0,AL355075.1,-0.26760711832386797,0.32003097179156936,0.37198789164543455,3.503667701886044,0.2690108113467205,-0.9943942389084672
0,FBXL20,0.04061647899354603,0.3201088113014339,0.3720663067042568,1064.2401636102634,0.04085206451720889,0.994234303357329
0,MED19,-0.08167299676673709,0.320135968042063,0.3720858093989487,42.27459788523855,0.08214985546087798,-0.9941785108361252
0,RNH1,-0.04527512120532078,0.320182262656476,0.3721275535671944,946.7807011491255,0.04554455943104956,-0.9940834073934444
0,AC127540.1,0.19912938354515292,0.32022495693076936,0.3721651107177315,6.394454828688221,0.20034498210034948,0.993995708130628
0,WIPI1,0.08370052743875292,0.32027732885192745,0.37221391242013024,958.4002766846796,0.08421538090785005,0.993888140236777
0,ATP7B,0.05003888899092044,0.3204348303802384,0.3723848845585015,328.3058552458111,0.05036310733427171,0.9935647134992026
0,PLS1-AS1,-0.47221535703735934,0.3205719571645513,0.3725321684104163,1.231415655441607,0.4781760468060642,-0.9932832105659296
0,C1orf35,-0.06708835566742878,0.32059656267479847,0.372548687561332,46.42301794142393,0.06754495786830403,-0.9932327070755324
0,SNAPC5,0.06098418837280239,0.32098596849237304,0.37298910747647246,155.1076089295485,0.06144949090335433,0.9924337778928634
0,PPM1F,-0.06002741934741096,0.32108865120600394,0.37309633434848727,451.1521107958924,0.06049774974599192,-0.9922232131742132
0,ZC3H13,-0.03918819789703224,0.3211098916580583,0.3731089236308147,1432.4141680026364,0.03949705590488992,-0.9921796622607352
0,USP27X,0.08233325685909135,0.3213545295223561,0.3733810770285517,42.641376706754805,0.08302379557093646,0.9916781982376032
0,PLPP1,-0.10465050904944564,0.32154600847973985,0.3735914495800737,1609.6578344287122,0.10557047004882464,-0.991285874411251
0,AL732509.1,-0.08080449222000004,0.32158253614950905,0.3736217826266371,58.36448553824716,0.08151945075837001,-0.9912110497026988
0,AC114271.1,0.1203125858278034,0.3218572186004557,0.373928798293025,15.444620096812118,0.12145775862465806,0.9906485570921768
0,SPATC1L,-0.15391325687196902,0.32202853284287886,0.3741157063500444,44.984828126811415,0.155414378774195,-0.9902978997526788
0,FARSA,0.04311269349207024,0.3221453544408237,0.3742392976761189,238.12171483742395,0.04354562682049081,0.9900588513799944
0,AC090425.2,-0.1886630662812152,0.32217987469110937,0.3742672738392913,6.14764419075275,0.19054757907192077,-0.9899882245025686
0,SAC3D1,0.07272426516179682,0.3224418365113383,0.3745594520868929,47.183576854573715,0.07350153413835844,0.989452423257178
0,ZNF518A,-0.04729950341343515,0.3225191288843206,0.3746371000144917,721.262405782777,0.04781128055986294,-0.9892943882609452
0,AC084125.3,-0.5676616090575638,0.32272259346934684,0.3748612993664453,0.3494890534129656,0.5818202462123243,-0.9888784947236454
0,R3HDM2,0.04343037341843604,0.32286635067689723,0.3750161328037886,918.0179604986912,0.04393191095377138,0.9885847496540432
0,KIAA1671-AS1,0.24057377775975272,0.32298716859564214,0.3751443126011257,25.396824817723093,0.2434046265060325,0.9883379433393592
0,AP1S2,-0.08648676112299687,0.3230944057387184,0.3752567107564299,1642.533478145922,0.08752666247854125,-0.9881189301952332
0,AC244197.2,0.14157492943567862,0.3231981157828327,0.3753650052278267,17.17181579051157,0.14330982532910885,0.9879071656097016
0,AC024361.1,0.146779010970633,0.32325554242790466,0.3754195404966321,25.34314797192352,0.14859881231030275,0.9877899257261344
0,RNF144A,0.07662073144989111,0.3234253303264834,0.37560456108233664,689.8795299442389,0.07759509270264534,0.9874433731026836
0,LURAP1,-0.15097495971094807,0.32345738695232806,0.3756296229692542,27.114682316962128,0.15289218495444978,-0.9873779559066984
0,TTC14,-0.0594584400862425,0.3235532872263296,0.3757288221758015,512.6267515633638,0.06023027604383405,-0.9871822797155132
0,HSD11B1,-0.13654126438468636,0.3235970386650775,0.37576520825495874,33.71954619230454,0.13832987022149532,-0.987093021254174
0,ABCA1,-0.1102198579474925,0.323605580825453,0.37576520825495874,3080.0653693179565,0.11166296062891806,-0.9870755950856336
0,MGST3,0.08876420002198143,0.32386200556045186,0.3760386078163861,1769.860253097317,0.08997417627744447,0.986552623262724
0,XPO5,-0.03985187783549726,0.3238598759363656,0.3760386078163861,462.77438988838986,0.04039488877826596,-0.9865569654665474
0,AL139286.1,-0.2551735421364548,0.3239552641746974,0.3761225308264935,2.4996870844653274,0.25852817377661225,-0.9863624915529776
0,GPR89B,-0.06842156398324968,0.3239497644144284,0.3761225308264935,66.8713365822787,0.06936613973737468,-0.98637370324168006
0,LINC01968,-0.24689231676913123,0.3241464703093404,0.376332341189049,42.48751098750739,0.2504311071753402,-0.9859727800455595
0,AC012555.1,0.1890572717130864,0.32418354151687495,0.3763553986322899,8.804938863341544,0.1918012127488663,0.9858972397775184
0,NOSIP,0.05923214362454501,0.32418732357434876,0.3763553986322899,397.5362033747614,0.06007991969969161,0.9858895333678716
0,BLZF1,-0.03793468531731149,0.3246951716941717,0.3769327650422368,322.3799791741595,0.03851800665582712,-0.98485526128076
0,EIF2S1,0.04139030092088831,0.32477329209712924,0.37701124706648653,1014.9393135816794,0.04203357596124527,0.9846962565007844
0,AC005944.1,-0.22463073910368803,0.3248029098134869,0.377033421761285,3.7512801512744822,0.22804180585310263,-0.984635979673308
0,POLR1H,-0.07992655053590342,0.32494509552721507,0.3771862604852309,51.41047398077615,0.0811975162424251,-0.9843466586214008
0,DBR1,0.04489402125405867,0.32503793523621055,0.3772818118450738,125.57641353522546,0.04561674045653868,0.9841577918183128
