Sample_ID,PC1,PC2,Cluster
NS.1402.004.NEBNext_dual_i7_244---NEBNext_dual_i5_292.7359_R1.bam,-1.9105289417843914,-9.785460065384138,0
NS.1402.004.NEBNext_dual_i7_245---NEBNext_dual_i5_197.7362_R1.bam,-1.8461862766250183,-17.71384203887756,0
NS.1402.004.NEBNext_dual_i7_246---NEBNext_dual_i5_198.7364_R1.bam,1.7866315907887111,-11.200131340412367,0
NS.1402.004.NEBNext_dual_i7_247---NEBNext_dual_i5_199.7411_R1.bam,-3.5374732349853266,-18.958411667605088,0
NS.1402.004.NEBNext_dual_i7_248---NEBNext_dual_i5_200.7455_R1.bam,11.086220067211368,13.654981298669659,1
NS.1402.004.NEBNext_dual_i7_249---NEBNext_dual_i5_201.7486_R1.bam,7.3448728101344996,-0.8499443784951936,3
NS.1402.004.NEBNext_dual_i7_250---NEBNext_dual_i5_202.7495_R1.bam,9.923000041883133,6.792814673429859,1
NS.1402.004.NEBNext_dual_i7_251---NEBNext_dual_i5_203.Bio1_R1.bam,-3.2807094574192783,-9.39627326899462,0
NS.1402.004.NEBNext_dual_i7_B11---NEBNext_dual_i5_B11.5129_R1.bam,4.384597689982793,-5.016963263157872,3
NS.1402.004.NEBNext_dual_i7_C11---NEBNext_dual_i5_C11.6147_R1.bam,1.7345639982278152,-2.9099145581171975,3
NS.1402.004.NEBNext_dual_i7_D11---NEBNext_dual_i5_D11.7117_R1.bam,-0.982696193946297,-12.723577275534678,0
NS.1402.004.NEBNext_dual_i7_E11---NEBNext_dual_i5_E11.7288_R1.bam,11.711214805715448,15.090957611495895,1
NS.1402.004.NEBNext_dual_i7_G11---NEBNext_dual_i5_G11.1014_R1.bam,23.26222868727546,29.390907187059614,2
