gene,spearman_rho,pvalue,padj
IKZF3,0.7999999999999999,0.20000000000000007,0.29498148909913624
IKZF4,-1.0,0.0,0.0
IKZF5,-0.7999999999999999,0.20000000000000007,0.29498148909913624
IL1A,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL1B,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL1F10,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL1R1,1.0,0.0,0.0
IL1R2,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL1RAP,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL1RAPL1,0.39999999999999997,0.6,0.6497629043462503
IL1RAPL2,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL1RL1,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL1RL2,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL1RN,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL2,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL2RA,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL2RB,1.0,0.0,0.0
IL2RG,1.0,0.0,0.0
IL3,-0.19999999999999998,0.8,0.8188409934341992
IL4,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL4I1,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL4R,1.0,0.0,0.0
IL5,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL5RA,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL6,0.6000000000000001,0.3999999999999999,0.5121777015927432
IL6R,-1.0,0.0,0.0
IL6ST,0.39999999999999997,0.6,0.6497629043462503
IL7,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL7R,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL9,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL10,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL10RA,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL10RB,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL11,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL11RA,0.19999999999999998,0.8,0.8188409934341992
IL12A,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL12B,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL12RB1,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL12RB2,0.0,1.0,1.0
IL13,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL13RA1,0.39999999999999997,0.6,0.6497629043462503
IL13RA2,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL15,-0.19999999999999998,0.8,0.8188409934341992
IL15RA,-0.39999999999999997,0.6,0.6497629043462503
IL16,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL17A,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL17B,0.6000000000000001,0.3999999999999999,0.5121777015927432
IL17C,0.6000000000000001,0.3999999999999999,0.5121777015927432
IL17D,-0.39999999999999997,0.6,0.6497629043462503
IL17F,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL17RA,1.0,0.0,0.0
IL17RB,-0.19999999999999998,0.8,0.8188409934341992
IL17RC,-0.39999999999999997,0.6,0.6497629043462503
IL17RD,1.0,0.0,0.0
IL17RE,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL17REL,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL18,0.39999999999999997,0.6,0.6497629043462503
IL18BP,0.39999999999999997,0.6,0.6497629043462503
IL18R1,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL18RAP,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL19,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL20,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL20RA,0.0,1.0,1.0
IL20RB,0.6000000000000001,0.3999999999999999,0.5121777015927432
IL21,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL21R,1.0,0.0,0.0
IL22,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL22RA1,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL22RA2,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL23A,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL23R,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL24,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL25,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL26,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL27,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL27RA,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL31,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL31RA,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL32,0.19999999999999998,0.8,0.8188409934341992
IL33,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL34,1.0,0.0,0.0
IL36A,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL36B,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL36G,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL36RN,0.7999999999999999,0.20000000000000007,0.29498148909913624
IL37,0.7999999999999999,0.20000000000000007,0.29498148909913624
ILDR1,0.7999999999999999,0.20000000000000007,0.29498148909913624
ILDR2,0.6000000000000001,0.3999999999999999,0.5121777015927432
ILF2,-0.7999999999999999,0.20000000000000007,0.29498148909913624
ILF3,-1.0,0.0,0.0
ILK,0.39999999999999997,0.6,0.6497629043462503
ILKAP,-0.7999999999999999,0.20000000000000007,0.29498148909913624
ILRUN,-1.0,0.0,0.0
