cluster,TF,overlap,odds_ratio,pvalue,padj
3,HNF1B,2.0,1.2228157537347215,0.5462911248759457,
3,HNF4A,9.0,1.5289953562124816,0.2014266582880966,
3,HOXA1,1.0,0.5094300479046433,0.8621113400995102,
3,HOXA10,2.0,1.2228157537347215,0.5462911248759457,
3,HOXA9,4.0,6.116142177948834,0.03576572468585024,
3,HOXB7,0.0,0.0,1.0,
3,HOXC8,1.0,0.5094300479046433,0.8621113400995102,
3,HSF1,6.0,0.764068161231884,0.7850094696220492,
3,HSF2,1.0,0.5094300479046433,0.8621113400995102,
3,ID1,5.0,3.0580776633080493,0.0740694209563874,
3,ID2,3.0,1.3102110113994665,0.4638592609232222,
3,ID3,3.0,2.293123938879457,0.23632852581656752,
3,IKBKB,4.0,1.7471457679743847,0.27706569688418214,
3,IKZF1,4.0,1.0189796996453098,0.5823241618789705,
3,ILF3,3.0,2.293123938879457,0.23632852581656752,
3,ING1,1.0,0.5094300479046433,0.8621113400995102,
3,ING4,4.0,1.1116553810690102,0.526041455205255,
3,IRF1,7.0,1.2589341024599172,0.3770141695363659,
3,IRF2,2.0,1.0189754036517278,0.6241449309998756,
3,IRF3,0.0,0.0,1.0,
3,IRF4,3.0,1.1463921901528014,0.533906847437862,
3,IRF7,0.0,0.0,1.0,
3,IRF8,6.0,1.2229166666666667,0.41850739453165264,
3,IRF9,2.0,1.0189754036517278,0.6241449309998756,
3,ISL1,1.0,0.5094300479046433,0.8621113400995102,
3,JUN,51.0,2.2343022972247963,1.765324133667044e-05,
3,JUNB,2.0,0.8733751535924464,0.6911888886839528,
3,JUND,1.0,0.6113386896005432,0.8169941664961439,
3,KAT2B,3.0,0.9170458404074703,0.6567497970724436,
3,KAT5,3.0,4.586587436332767,0.09983665614785837,
3,KCNIP3,1.0,0.43663816097900066,0.896106541399458,
3,KLF10,2.0,1.2228157537347215,0.5462911248759457,
3,KLF2,2.0,0.6792414868467381,0.7956022841099738,
3,KLF3,,,,
3,KLF4,6.0,1.6678606719367588,0.22401066448309112,
3,KLF5,4.0,2.0384121953060146,0.21596532153116788,
3,KLF6,8.0,2.0388825972064932,0.09506185749661054,
3,KLF8,4.0,3.0578446909667196,0.10899322467058703,
3,LDB1,4.0,1.7471457679743847,0.27706569688418214,
3,LEF1,13.0,2.209549889833176,0.025777411697357415,
3,LHX2,2.0,2.038177154066697,0.35978945072832336,
3,LMO2,2.0,0.7641749660479855,0.7480212956241353,
3,LMX1B,3.0,4.586587436332767,0.09983665614785837,
3,MAF,1.0,0.6113386896005432,0.8169941664961439,
3,MAFA,2.0,1.2228157537347215,0.5462911248759457,
3,MAX,0.0,0.0,1.0,
3,MAZ,4.0,3.0578446909667196,0.10899322467058703,
3,MBD1,1.0,0.6113386896005432,0.8169941664961439,
3,MBD2,3.0,1.3102110113994665,0.4638592609232222,
3,MECP2,4.0,1.0189796996453098,0.5823241618789705,
3,MEF2A,1.0,0.5094300479046433,0.8621113400995102,
3,MEF2C,12.0,2.447496034443689,0.01934852311745642,
3,MEF2D,0.0,0.0,1.0,
3,MEIS1,2.0,1.2228157537347215,0.5462911248759457,
3,MEIS2,2.0,1.5285762788592123,0.4577303822875518,
3,MEN1,0.0,0.0,1.0,
3,MITF,12.0,2.447496034443689,0.01934852311745642,
3,MLXIPL,1.0,0.30561276451284375,0.9555631385547037,
3,MSC,5.0,2.548303709573946,0.10903966466339285,
3,MSX1,0.0,0.0,1.0,
3,MSX2,6.0,1.4111622073578596,0.3190336299638332,
3,MTA1,0.0,0.0,1.0,
3,MTF1,0.0,0.0,1.0,
3,MYB,7.0,2.378691226613319,0.07447165097431371,
3,MYBL2,3.0,0.9170458404074703,0.6567497970724436,
3,MYC,10.0,0.8989778512220475,0.6724380814252099,
