cluster,TF,overlap,odds_ratio,pvalue,padj
0,KLF5,7.0,1.045993265993266,0.6240486606418343,
0,KLF6,15.0,1.3450408212755638,0.3804384958927472,
0,KLF8,7.0,3.1385454545454547,0.23691087402371575,
0,LDB1,9.0,2.0176175852594147,0.2888022007266687,
0,LEF1,22.0,1.095874042629652,0.4952599004191103,
0,LHX2,5.0,inf,0.15692319644180536,
0,LMO2,7.0,1.045993265993266,0.6240486606418343,
0,LMX1B,5.0,inf,0.15692319644180536,
0,MAF,4.0,0.8965377933987799,0.7264867648792672,
0,MAFA,6.0,2.69007312835845,0.3095908294427123,
0,MAX,1.0,0.08961867830021004,0.999121453866447,
0,MAZ,8.0,inf,0.051645710818670754,
0,MBD1,5.0,2.241637039431157,0.3998149166804603,
0,MBD2,7.0,1.045993265993266,0.6240486606418343,
0,MECP2,10.0,0.7470265756118587,0.8015458192629125,
0,MEF2A,3.0,0.33612749454633595,0.9670472657879691,
0,MEF2C,18.0,0.8964792433000526,0.6898722033442048,
0,MEF2D,4.0,0.8965377933987799,0.7264867648792672,
0,MEIS1,3.0,0.33612749454633595,0.9670472657879691,
0,MEIS2,5.0,2.241637039431157,0.3998149166804603,
0,MEN1,3.0,0.22404459885271066,0.9947839899864082,
0,MITF,21.0,1.569453428201811,0.22321493658593594,
0,MLXIPL,5.0,0.3734378366731308,0.9742790283392039,
0,MSC,10.0,4.484179900594011,0.10083468145366295,
0,MSX1,9.0,1.3449571682560206,0.46336594309805057,
0,MSX2,17.0,3.812287793047696,0.03851840948571664,
0,MTA1,6.0,1.3449153569552745,0.5276306956997026,
0,MTF1,4.0,1.7932371833717125,0.5087055327467294,
0,MYB,14.0,3.1391504667986907,0.0861299710991021,
0,MYBL2,10.0,1.4944572406082892,0.3913189707794953,
0,MYC,22.0,0.4477865372953305,0.9974123661367482,
0,MYCN,4.0,0.3585181594150204,0.9704792775628538,
0,MYF5,4.0,0.3585181594150204,0.9704792775628538,
0,MYF6,5.0,1.1207175177763413,0.6253751347748302,
0,MYOD1,30.0,0.7908240337425867,0.8251167681942648,
0,MYOG,8.0,0.7171522081700271,0.8144021451296009,
0,MZF1,4.0,0.5976379967411357,0.861302271685183,
0,NANOG,11.0,1.2328659177240766,0.48293341315051785,
0,NCOA1,7.0,1.045993265993266,0.6240486606418343,
0,NCOA3,4.0,0.3585181594150204,0.9704792775628538,
0,NCOR1,4.0,0.5976379967411357,0.861302271685183,
0,NEUROD1,9.0,4.035598836269598,0.13501059404875485,
0,NEUROG2,6.0,inf,0.10834485239407438,
0,NEUROG3,5.0,2.241637039431157,0.3998149166804603,
0,NF1,8.0,0.5975729659110806,0.892366774904505,
0,NFATC1,13.0,5.830140640155189,0.0407065394301414,
0,NFATC2,17.0,2.541296146591215,0.09145156604752219,
0,NFE2,6.0,1.3449153569552745,0.5276306956997026,
0,NFE2L2,26.0,0.5545421112118779,0.9837750285745855,
0,NFIC,8.0,1.7933653885005454,0.35775333684118343,
0,NFIL3,5.0,0.5602577569489334,0.8891254258546597,
0,NFKB1,129.0,0.9970148919368479,0.5430032511623671,
0,NFKB2,7.0,1.045993265993266,0.6240486606418343,
0,NFKBIA,11.0,0.6162107007193082,0.9005932769754299,
0,NFYA,5.0,0.2800278765352295,0.9949094361300596,
0,NFYB,9.0,0.8068288346533053,0.7559286727984227,
0,NFYC,7.0,0.5228552188552189,0.927307529387868,
0,NKX2-1,9.0,2.0176175852594147,0.2888022007266687,
0,NKX2-5,16.0,1.195532382145696,0.4551185780361836,
0,NKX3-1,5.0,0.44816580478345186,0.9453032948311962,
0,NOTCH1,10.0,0.34456390984454993,0.9971095917425001,
0,NPM1,9.0,2.0176175852594147,0.2888022007266687,
0,NR0B1,7.0,0.7844242424242425,0.7682935087585698,
0,NR0B2,12.0,1.0759022024651446,0.5627239455605284,
0,NR1H3,12.0,1.0759022024651446,0.5627239455605284,
0,NR1H4,6.0,0.6723364712536867,0.832947556878123,
