category,subcategory,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,75/1104,362/9521,2.6306144515904073e-7,8.202734153595544e-6,6.091949256314629e-6,COL1A1/COL1A2/COL6A3/THBS2/COL6A1/COL6A2/LPAR1/PDGFRB/FN1/THBS3/CCND2/GNB4/IGF1/NTRK2/PDGFD/ITGB5/IGF2/THBS4/ITGA11/CHAD/CREB3L1/SPP1/PRKAA2/F2R/LAMA2/FGF7/LAMA4/TNXB/GNG2/CSF1R/PDGFRA/COMP/LAMB1/ITGA2/LAMB2/ERBB3/LAMA3/PPP2CA/VEGFD/FGF16/FGF18/NGFR/ITGA10/PIK3AP1/HGF/ANGPT2/ITGB4/GNB3/SYK/EIF4EBP1/COL4A2/PIK3CG/FGF2/EFNA5/COL4A1/COL6A6/ITGB8/PCK2/THBS1/NTF4/CCND1/IL4R/PIK3R5/LPAR5/ITGA4/IL2RG/TNC/PRLR/IL2RB/IL7R/ANGPT4/PCK1/CSF3/LPAR2/NR4A1,75
Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,56/1104,254/9521,1.1703789784272305e-6,3.345333246671167e-5,2.4844887085911385e-5,CAMK1D/PDGFRB/ADCY3/NFATC4/BDKRB2/NTRK2/PDGFD/ADCY7/PDE1A/P2RX7/F2R/FGF7/ADCY2/PLCE1/VDAC3/PTGER3/NFATC1/BDKRB1/VDAC1/ADCY9/MYLK/PDGFRA/P2RX4/HRH1/ERBB3/CACNA1C/PLCB2/VEGFD/FGF16/FGF18/HGF/CAMK1/TACR1/HTR7/ORAI2/GNA15/PTGFR/GRIN2D/FGF2/MCOLN3/PTK2B/MYLK2/MYLK3/PLN/ATP2A2/CYSLTR1/SPHK1/CXCR4/ATP2B2/ATP2A1/PTAFR/HRH2/HTR2B/PDE1B/ADRB1/ATP2B3,56
Human Diseases,Cardiovascular disease,hsa05414,Dilated cardiomyopathy,30/1104,105/9521,1.667151940475502e-6,4.102954311260014e-5,3.0471534243514604e-5,TGFB1/ADCY3/IGF1/ITGB5/ADCY7/ITGA11/LAMA2/TGFB3/ADCY2/DES/SGCE/ADCY9/SNTA1/DTNA/ITGA2/CACNA1C/ACTG1/ITGA10/ITGB4/CACNB3/CACNB2/ACTC1/PLN/ATP2A2/ITGB8/ITGA4/ATP2A1/CACNB4/TNNT2/ADRB1,30
Cellular Processes,Cell motility,hsa04810,Regulation of actin cytoskeleton,52/1104,232/9521,1.6746752290857198e-6,4.102954311260014e-5,3.0471534243514604e-5,SRC/LPAR1/PDGFRB/DOCK1/FN1/BDKRB2/PDGFD/ITGB5/ITGA11/C7/MYL5/F2R/FGF7/ARPC5/FGD1/GSN/TMSB4X/EZR/VAV2/BDKRB1/MYH10/WASF1/PIP4K2A/MYLK/ITGB2/ACTN1/PDGFRA/ITGA2/LIMK2/NCKAP1L/MYH14/FGF16/FGF18/ACTG1/ITGA10/ITGB4/IQGAP2/ITGAM/FGF2/MYLK2/MYLK3/C6/ITGB8/BAIAP2/TIAM1/MYL9/CXCR4/LPAR5/ITGA4/RAC3/ITGAX/LPAR2,52
Human Diseases,Immune disease,hsa05322,Systemic lupus erythematosus,37/1104,144/9521,1.8699204555634923e-6,4.275884775055186e-5,3.1755842122551946e-5,C1R/C1S/C2/C7/C3/H2BC12/HLA-DRB1/ACTN1/C1QA/C1QC/HLA-DRA/HLA-DPB1/C1QB/HLA-DQA1/H4C6/HLA-DPA1/C4B/H4C5/C4A/C6/HLA-DMB/H3C6/CD86/H3C2/H3C1/H2AC8/H4C8/FCGR3A/CD28/CTSG/H4C9/FCGR2A/H2AC11/H2BC7/HLA-DRB5/CD40LG/H3-5,37
Human Diseases,Infectious disease: bacterial,hsa05150,Staphylococcus aureus infection,29/1104,102/9521,2.761872374198984e-6,5.920763902189072e-5,4.3971915431325934e-5,C1R/C1S/C2/C3/CFH/FPR3/HLA-DRB1/ITGB2/FCGR2B/C1QA/C1QC/HLA-DRA/C3AR1/HLA-DPB1/C1QB/HLA-DQA1/HLA-DPA1/ITGAM/C4B/C4A/HLA-DMB/SELP/PTAFR/SELPLG/CFB/FCGR3A/KRT31/FCGR2A/HLA-DRB5,29
NA,NA,hsa04148,Efferocytosis,38/1104,157/9521,6.402528712636707e-6,1.291804322608465e-4,9.593882033796181e-5,LRP1/DOCK1/TGFB1/LIPA/NFATC4/AXL/ITGB5/STAB1/TMEM30B/ANO5/NFATC1/RAB7B/CD24/HAVCR2/C1QA/PTGER2/C1QC/PPARG/TYRO3/C1QB/MERTK/VPS8/NR1H3/P2RY2/DUSP4/PROS1/MEGF10/ATP2A2/THBS1/CPT1B/SPHK1/PANX1/ATP2A1/MAPK13/DUSP8/XKR9/ALOX5/CPT1C,38
Human Diseases,Cardiovascular disease,hsa05416,Viral myocarditis,22/1104,70/9521,7.457825495456537e-6,1.421130080523107e-4,1.0554349531581767e-4,FYN/LAMA2/SGCE/HLA-DRB1/ITGB2/SNTA1/DTNA/ACTG1/HLA-DRA/HLA-DPB1/CXADR/HLA-DQA1/HLA-DPA1/CASP8/BID/HLA-DMB/CD86/CCND1/RAC3/CD28/HLA-DRB5/CD40LG,22
Human Diseases,Endocrine and metabolic disease,hsa04936,Alcoholic liver disease,35/1104,144/9521,1.334286131555502e-5,2.402536470044491e-4,1.784298989568105e-4,C2/C3/PRKAA2/LPIN3/CAMKK2/CD14/LPIN2/PRKAG2/C1QA/C1QC/SCD5/C3AR1/MYD88/C1QB/C4B/LY96/CASP8/ACADM/PPARGC1A/IL17RA/FASN/C4A/NOX4/MAP2K6/CPT1B/IKBKE/ADH1C/CCND1/SCD/MAPK13/ADIPOQ/ADH1B/CXCL1/CPT1C/LEF1,35
Environmental Information Processing,Signal transduction,hsa04350,TGF-beta signaling pathway,29/1104,110/9521,1.400895900900578e-5,2.402536470044491e-4,1.784298989568105e-4,NBL1/TGFB1/DCN/FMOD/ID4/TGFBR2/TGFB3/ID3/EMP3/ID2/FBN1/FST/TGIF2/LEFTY2/CHRD/PPP2CA/GDF7/SMAD6/LTBP1/NRROS/GREM2/SMAD9/ACVR1C/INHBA/THBS1/BMP8A/CDKN2B/GDF6/IGSF1,29
Organismal Systems,Immune system,hsa04611,Platelet activation,31/1104,126/9521,3.1786843878001274e-5,5.191851166740207e-4,3.8558477285595525e-4,COL1A1/COL1A2/COL3A1/SRC/ADCY3/FYN/ADCY7/F2R/ADCY2/ADCY9/MYLK/ITGA2/PLCB2/ACTG1/PRKG1/FERMT3/SYK/FCER1G/PIK3CG/APBB1IP/PLA2G4A/BTK/GNAI1/MYLK2/MYLK3/PIK3R5/PLA2G4F/PTGIR/MAPK13/P2RY1/FCGR2A,31
Human Diseases,Cardiovascular disease,hsa05410,Hypertrophic cardiomyopathy,26/1104,99/9521,4.134037155168657e-5,6.445339746467497e-4,4.786779863879498e-4,TGFB1/IGF1/ITGB5/ITGA11/PRKAA2/LAMA2/TGFB3/DES/SGCE/SNTA1/DTNA/ITGA2/CACNA1C/PRKAG2/ACTG1/ITGA10/ITGB4/CACNB3/CACNB2/ACTC1/ATP2A2/ITGB8/ITGA4/ATP2A1/CACNB4/TNNT2,26
Metabolism,Glycan biosynthesis and metabolism,hsa00532,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,10/1104,21/9521,4.462075666876284e-5,6.654312842341589e-4,4.941978541803481e-4,DSEL/CHPF/DSE/CHST14/CHPF2/CSGALNACT1/CHST11/XYLT1/UST/CHSY3,10
Organismal Systems,Immune system,hsa04640,Hematopoietic cell lineage,26/1104,100/9521,4.981955395928726e-5,7.120044586681471e-4,5.287864937783998e-4,CD4/CD34/CD24/HLA-DRB1/CD44/CSF1R/ANPEP/ITGA2/CD14/HLA-DRA/HLA-DPB1/CD9/CD33/HLA-DQA1/HLA-DPA1/ITGAM/CD37/HLA-DMB/IL4R/ITGA4/CD2/IL7R/FCER2/CD8A/CSF3/HLA-DRB5,26
Human Diseases,Infectious disease: parasitic,hsa05145,Toxoplasmosis,28/1104,112/9521,5.573733321211944e-5,7.647162116702788e-4,5.679340899929644e-4,TGFB1/LAMA2/TGFB3/LAMA4/IL10RA/HLA-DRB1/LAMB1/LAMB2/LAMA3/HLA-DRA/HLA-DPB1/MYD88/HLA-DQA1/HLA-DPA1/PIK3CG/LY96/CASP8/GNAI1/HLA-DMB/MAP2K6/PIK3R5/MAPK13/ALOX5/CCR5/HSPA6/HLA-DRB5/CD40LG/LDLR,28
Human Diseases,Cardiovascular disease,hsa05412,Arrhythmogenic right ventricular cardiomyopathy,23/1104,86/9521,8.346767619994675e-5,0.001101131266791605,8.177804712707334e-4,ITGB5/ITGA11/LAMA2/DES/SGCE/SNTA1/DTNA/ITGA2/CACNA1C/JUP/ACTG1/ITGA10/ITGB4/CACNB3/CACNB2/ATP2A2/ITGB8/ACTN2/ITGA4/ATP2A1/CACNB4/DSP/LEF1,23
Human Diseases,Infectious disease: bacterial,hsa05152,Tuberculosis,39/1104,182/9521,9.361570722916894e-5,0.0011892662066520351,8.832359122596058e-4,SRC/LSP1/TGFB1/MRC2/C3/TGFB3/IL10RA/TCIRG1/PLA2R1/HLA-DRB1/ITGB2/CD14/CD74/MRC1/FCGR2B/HLA-DRA/SYK/HLA-DPB1/MYD88/CTSS/HLA-DQA1/HLA-DPA1/FCER1G/ITGAM/CD209/CASP8/BID/HLA-DMB/SPHK1/VDR/MAPK13/FCGR3A/ITGAX/FCGR2A/TLR9/CORO1A/CARD9/CLEC7A/HLA-DRB5,39
Environmental Information Processing,Signal transduction,hsa04340,Hedgehog signaling pathway,17/1104,56/9521,1.299015085352428e-4,0.0015912934795567243,0.0011818107167492016,EVC/GLI3/CDON/BOC/CCND2/GAS1/ARRB1/GRK3/KIF7/EVC2/EFCAB7/PTCH2/GLI2/GPR161/CCND1/HHIP/GLI1,17
Human Diseases,Infectious disease: bacterial,hsa05133,Pertussis,21/1104,78/9521,1.5144381278506036e-4,0.0017912147512164035,0.0013302868491464467,C1R/C1S/NOD1/C2/SERPING1/PYCARD/C3/ITGB2/CD14/C1QA/C1QC/IRF8/MYD88/C1QB/ITGAM/C4B/LY96/GNAI1/C4A/MAPK13/FOS,21
Organismal Systems,Development and regeneration,hsa04380,Osteoclast differentiation,32/1104,143/9521,1.6825312639803645e-4,0.0019236940784842168,0.0014286756697657831,CTSK/TGFB1/TGFBR2/FYN/MITF/ACP5/SQSTM1/LILRB5/NFATC1/GAB2/CSF1R/LILRB4/FCGR2B/TYROBP/PPARG/SYK/BTK/ATP2A2/MAP2K6/SPI1/ATP2A1/MAPK13/NCF4/LILRB2/FCGR3A/LILRA6/TNFRSF11A/FCGR2A/FOS/BLNK/LILRB1/OSCAR,32
Human Diseases,Infectious disease: parasitic,hsa05140,Leishmaniasis,21/1104,79/9521,1.8414634160198343e-4,0.0020374901667574294,0.0015131889530621391,EEF1A1/TGFB1/C3/TGFB3/HLA-DRB1/ITGB2/CYBB/HLA-DRA/HLA-DPB1/MYD88/HLA-DQA1/HLA-DPA1/ITGAM/HLA-DMB/ITGA4/MAPK13/NCF4/FCGR3A/FCGR2A/FOS/HLA-DRB5,21
Human Diseases,Cancer: overview,hsa05205,Proteoglycans in cancer,41/1104,204/9521,2.7279010709502574e-4,0.0029239689604248073,0.0021715528262169813,COL1A1/COL1A2/MMP2/SRC/LUM/TGFB1/FN1/DCN/TWIST1/IGF1/HSPG2/ITGB5/IGF2/PLCE1/FZD6/EZR/VAV2/FZD1/GPC3/CD44/ITGA2/ERBB3/TWIST2/ACTG1/HGF/SDC2/SDC1/FGF2/FZD7/FLNA/THBS1/TIAM1/MMP9/FZD2/CCND1/MAPK13/HCLS1/SDC4/FZD10/HBEGF/PLAU,41
Organismal Systems,Endocrine system,hsa03320,PPAR signaling pathway,20/1104,76/9521,3.011215067915266e-4,0.0031298386918028375,0.0023244467190924865,PLTP/FADS2/UBC/PLIN2/SCD5/PPARG/NR1H3/ACADM/PCK2/RXRG/CPT1B/FABP4/SCD/FABP7/ADIPOQ/PLIN1/FABP3/PLIN5/CPT1C/PCK1,20
Environmental Information Processing,Signal transduction,hsa04015,Rap1 signaling pathway,42/1104,212/9521,3.185813493147652e-4,0.0032139236122048368,0.002386894319943442,SRC/LPAR1/PDGFRB/ADCY3/IGF1/PDGFD/ADCY7/F2R/FGF7/ADCY2/PLCE1/RASGRP3/VAV2/ADCY9/ITGB2/CSF1R/PDGFRA/PLCB2/PRKD1/VEGFD/FGF16/FGF18/NGFR/ACTG1/HGF/ANGPT2/PARD6G/ITGAM/FGF2/APBB1IP/EFNA5/GNAI1/THBS1/MAP2K6/TIAM1/CNR1/LPAR5/MAPK13/P2RY1/RAC3/ANGPT4/LPAR2,42
Environmental Information Processing,Signal transduction,hsa04072,Phospholipase D signaling pathway,32/1104,149/9521,3.7063231061425954e-4,0.0036321966440197436,0.0026975344110872425,LPAR1/PDGFRB/ADCY3/DNM1/PDGFD/FYN/ADCY7/AGPAT4/PLD1/F2R/PLD2/ADCY2/ADCY9/GAB2/PDGFRA/PLCB2/DGKA/SHC2/SYK/FCER1G/CYTH4/SHC3/PTGFR/PIK3CG/PLA2G4A/PTK2B/FCER1A/SPHK1/PIK3R5/PLA2G4F/LPAR5/LPAR2,32
Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,23/1104,95/9521,4.1366747522434e-4,0.003941331777831907,0.002927120731119599,CTSK/TGFB1/ACP5/TGFB3/TCIRG1/HLA-DRB1/ITGB2/HLA-DRA/HLA-DPB1/HLA-DQA1/HLA-DPA1/HLA-DMB/CD86/MMP3/CD28/CXCL1/TNFRSF11A/CCL3L3/ATP6V1F/FOS/CCL5/CCL3/HLA-DRB5,23
Environmental Information Processing,Signal transduction,hsa04024,cAMP signaling pathway,43/1104,226/9521,6.639455764227831e-4,0.006154954938189584,0.004571118904532391,GLI3/ADCY3/ADCY7/PLD1/CREB3L1/F2R/PLD2/ADCY2/PLCE1/VAV2/PTGER3/NFATC1/ADCY9/GABBR1/PDE4D/VIPR2/CACNA1C/PTGER2/PDE3A/SUCNR1/ATP1B1/GRIN2D/GNAI1/PLN/ATP2A2/PPP1R1B/ABCC4/TIAM1/PDE3B/MYL9/NPY1R/LIPE/ATP2B2/ATP2A1/HCAR1/RAC3/HHIP/ADRB1/ATP2B3/FOS/ADCYAP1/GLI1/GRIA3,43
Organismal Systems,Immune system,hsa04062,Chemokine signaling pathway,38/1104,193/9521,6.825234486456944e-4,0.0061606721811966626,0.004575364946599946,SRC/GNB4/ADCY3/ADCY7/ARRB1/ADCY2/GRK3/CXCL14/VAV2/CXCL16/GNG2/ADCY9/PRKCD/PLCB2/CCL22/GNB3/SHC2/CCL18/CCL14/SHC3/PIK3CG/GNAI1/CCR1/PTK2B/CCL21/DOCK2/TIAM1/CXCR4/PIK3R5/RAC3/CCL16/WAS/CXCL1/CCL3L3/CCL5/CCR5/CCL3/CXCL9,38
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,53/1104,298/9521,8.988413883672022e-4,0.007905194774614112,0.005870974790414654,TGFB1/TNFRSF14/TGFBR2/CD4/TGFB3/TNFRSF21/IL10RA/EDA2R/CXCL14/LEPR/CXCL16/IL33/CSF1R/GDF7/CCL22/IL34/NGFR/IL16/IL21R/CCL18/CCL14/TNFRSF25/TNFRSF19/GDF10/GDF11/CCR1/CCL21/IL17RA/ACVR1C/INHBA/CXCR4/IL4R/BMP8A/IL2RG/IL17D/TNFSF8/ACKR4/CCL16/CXCL1/PRLR/TNFRSF11A/CCL3L3/IL2RB/IL7R/CSF2RB/CCL5/CCR5/LEP/CCL3/CXCL9/GDF6/CSF3/CD40LG,53
Human Diseases,Infectious disease: bacterial,hsa05130,Pathogenic Escherichia coli infection,39/1104,203/9521,9.571563913636991e-4,0.00820761605594372,0.0060955749134214525,SRC/MYO1D/LPAR1/WIPF1/CLDN15/FYN/SEC24D/TUBA4A/PYCARD/F2R/ARPC5/EZR/MYH10/TUBA1A/WASF1/NCKAP1L/MYH14/MYO1B/ACTG1/TUBB2A/TUBB6/MYD88/CYTH4/MYO5C/CASP8/NAIP/WIPF3/BAIAP2/GAPDH/LPAR5/CLDN23/MAPK13/HCLS1/CLDN11/MYO5B/TUBB2B/FCGR2A/FOS/LPAR2,39
Metabolism,Amino acid metabolism,hsa00360,Phenylalanine metabolism,7/1104,16/9521,0.0012261158318917764,0.010257505618021447,0.007617972562716557,MAOB/AOC3/ALDH3B1/GOT2/GOT1/ALDH3A1/HPD,7
Organismal Systems,Immune system,hsa04659,Th17 cell differentiation,24/1104,109/9521,0.0013378167622301919,0.010925503558213232,0.008114076603000162,TGFB1/STAT6/TGFBR2/AHR/CD4/RORC/NFATC1/HLA-DRB1/RUNX1/PRKCQ/HLA-DRA/IL21R/HLA-DPB1/HLA-DQA1/HLA-DPA1/RXRG/HLA-DMB/IL4R/IL2RG/MAPK13/IRF4/IL2RB/FOS/HLA-DRB5,24
Environmental Information Processing,Signal transduction,hsa04152,AMPK signaling pathway,26/1104,122/9521,0.0014267403622787987,0.011380742889805302,0.008452170567233032,IGF1/PFKL/FBP1/CREB3L1/PRKAA2/CAMKK2/LEPR/PPP2CA/PRKAG2/SCD5/PPARG/EIF4EBP1/SLC2A4/PFKP/PPARGC1A/FASN/PCK2/CPT1B/CIDEA/LIPE/CCND1/SCD/ADIPOQ/CPT1C/LEP/PCK1,26
Organismal Systems,Immune system,hsa04670,Leukocyte transendothelial migration,25/1104,116/9521,0.001479542082046406,0.011533703048679938,0.00856576994868972,MMP2/THY1/JAM3/CLDN15/MYL5/EZR/VAV2/ITGB2/ACTN1/CYBB/ACTG1/JAM2/ITGAM/F11R/VCAM1/GNAI1/PTK2B/MMP9/MYL9/CXCR4/ITGA4/CLDN23/MAPK13/NCF4/CLDN11,25
Organismal Systems,Endocrine system,hsa04921,Oxytocin signaling pathway,31/1104,155/9521,0.001578915912528231,0.012034847955492959,0.008937956744604254,SRC/CAMK1D/ADCY3/NFATC4/ADCY7/PRKAA2/ADCY2/KCNJ5/CAMKK2/NFATC1/ADCY9/MYLK/CACNA1C/PLCB2/PRKAG2/ACTG1/CAMK1/CACNB3/PIK3CG/PLA2G4A/CACNB2/GNAI1/MYLK2/MYLK3/TRPM2/MYL9/CCND1/PIK3R5/PLA2G4F/CACNB4/FOS,31
Metabolism,Global and overview maps,hsa01212,Fatty acid metabolism,15/1104,57/9521,0.0016591830324972573,0.012371734351012157,0.009188153177673599,HADH/FADS2/HACD4/HADHB/SCD5/FADS1/ELOVL5/ACADM/FASN/CPT1B/SCD/ELOVL7/ELOVL6/CPT1C/ELOVL4,15
Organismal Systems,Endocrine system,hsa04926,Relaxin signaling pathway,27/1104,130/9521,0.0017422374451352817,0.012714626461306418,0.009442809893006453,COL1A1/COL1A2/MMP2/COL3A1/SRC/TGFB1/GNB4/ADCY3/TGFBR2/ADCY7/ARRB1/CREB3L1/ADCY2/GNG2/ADCY9/PLCB2/VEGFD/GNB3/SHC2/COL4A2/GNA15/SHC3/COL4A1/GNAI1/MMP9/MAPK13/FOS,27
Organismal Systems,Sensory system,hsa04750,Inflammatory mediator regulation of TRP channels,22/1104,99/9521,0.0018405061147625252,0.013151949945073878,0.009767598240625683,SRC/ADCY3/IGF1/BDKRB2/ADCY7/ADCY2/BDKRB1/ADCY9/PRKCD/HRH1/PLCB2/PRKCQ/PTGER2/TRPV2/P2RY2/PLA2G4A/MAP2K6/PLA2G4F/ASIC1/MAPK13/HTR2B/TRPV4,22
Human Diseases,Endocrine and metabolic disease,hsa04933,AGE-RAGE signaling pathway in diabetic complications,22/1104,101/9521,0.0024068766728094957,0.016416603820690868,0.012192168557947492,COL1A1/COL1A2/MMP2/COL3A1/TGFB1/FN1/TGFBR2/TGFB3/PLCE1/NFATC1/PRKCD/PLCB2/CYBB/VEGFD/F3/COL4A2/VCAM1/COL4A1/NOX4/CCND1/MAPK13/EGR1,22
Metabolism,Lipid metabolism,hsa01040,Biosynthesis of unsaturated fatty acids,9/1104,27/9521,0.002460439134967129,0.016416603820690868,0.012192168557947492,FADS2/HACD4/SCD5/FADS1/ELOVL5/SCD/ELOVL7/ELOVL6/ELOVL4,9
Human Diseases,Immune disease,hsa05310,Asthma,10/1104,32/9521,0.0024727228552900403,0.016416603820690868,0.012192168557947492,HLA-DRB1/HLA-DRA/HLA-DPB1/HLA-DQA1/HLA-DPA1/FCER1G/FCER1A/HLA-DMB/HLA-DRB5/CD40LG,10
