category,subcategory,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Digestive system,hsa04978,Mineral absorption,33/2970,61/9521,1.638587214983902e-4,0.0014132814729236156,0.0011297627640152168,HEPH/SLC8A1/ATP2B3/TRPM6/STEAP1/TF/SLC26A9/MT1F/MT1G/STEAP2/ATP2B2/HEPHL1/SLC26A3/SLC5A1/SLC34A2/VDR/SLC8A2/MT1A/S100G/SLC6A19/ATP1B3/MT2A/SLC34A1/MT1M/MT1E/TRPV6/ATP1A3/MT1HL1/MT1H/SLC34A3/MT1B/HMOX1/SLC9A3,33
Human Diseases,Immune disease,hsa05321,Inflammatory bowel disease,35/2970,66/9521,1.7760844533416977e-4,0.001494510088787526,0.0011946960892824771,IL18/IL21R/STAT4/IL5/IL4R/FOXP3/TLR2/IL23R/IL12B/IFNG/HLA-DMB/NOD2/IL1B/IL10/IL4/IL21/IL6/IL18R1/IL18RAP/IL1A/TNF/IL12A/IL17F/IL12RB1/IL17A/TGFB3/TGFB1/IL13/IL22/IL23A/HLA-DQA2/IL2/TBX21/HLA-DQB2/HLA-DRB5,35
Metabolism,Carbohydrate metabolism,hsa00010,Glycolysis / Gluconeogenesis,35/2970,67/9521,2.61348853229838e-4,0.0021467941515308122,0.0017161253019102147,TPI1/GAPDH/ENO3/PKM/FBP2/PGM1/LDHA/LDHB/PGAM2/ADH4/ALDH3B1/ENO4/PCK2/ALDOB/ADH7/PFKP/PGK2/PGAM4/FBP1/LDHAL6B/GCK/ADH6/GAPDHS/PCK1/HKDC1/PDHA2/PKLR/G6PC2/HK3/ALDH3B2/ADH1A/LDHAL6A/LDHC/HK2/ALDH3A1,35
Organismal Systems,Digestive system,hsa04972,Pancreatic secretion,50/2970,106/9521,3.8880054851196183e-4,0.003119446261316903,0.002493653456796427,RYR2/ATP2B3/CHRM3/CLCA2/RAB27B/CPB1/CD38/ADCY8/CFTR/PLA2G5/PNLIP/ATP2A1/PLA2G2F/CLCA4/CPB2/PRKCB/SCTR/ATP2B2/CCK/SLC26A3/PLCB2/BST1/CPA2/CCKAR/PNLIPRP1/CLCA1/PLA2G3/PLA2G2C/PRKCG/PRSS2/CELA2A/CELA2B/AMY1C/ATP1B3/PLA2G2D/PLA2G1B/ATP1A3/PRSS3/PRSS1/AMY2A/CPA1/PLA2G12B/PLA2G2A/PLA2G2E/CTRB1/PLA2G10/CELA3A/CELA3B/AMY1A/CTRB2,50
Metabolism,Carbohydrate metabolism,hsa00040,Pentose and glucuronate interconversions,21/2970,36/9521,6.735171831396755e-4,0.005280987004163365,0.0042215670330764355,UGT1A1/UGT2B4/UGT2B10/UGT2B7/RPEL1/UGT2B15/UGT1A7/UGT2B28/UGT1A4/UGT2B11/UGT1A6/UGT2A1/UGT2A3/UGT1A8/UGT1A9/UGT1A10/UGDH/DHDH/UGT1A5/UGT1A3/UGT2B17,21
Organismal Systems,Nervous system,hsa04724,Glutamatergic synapse,53/2970,116/9521,6.906392162678208e-4,0.005294900658053292,0.004232689465781732,PLA2G4A/CACNA1D/GRIN2B/SLC1A3/GRIN3A/GNAI1/GNB5/GRM1/GRIA4/GRM5/GRIN2A/GRIA1/CACNA1A/SHANK1/SLC17A8/GLS2/SLC38A3/SLC1A2/ADCY8/GRIA3/GRIK1/SHANK2/DLGAP1/GRM8/GRIN2D/PRKCB/SLC1A6/GRIK4/GRM7/GRM3/GNG4/GRK3/PLCB2/GRM6/PLA2G4E/GNB3/PLA2G4D/PRKCG/PPP3R2/GNGT1/GRIK3/SLC17A6/GRM4/PRKACG/GNGT2/GRIN1/GRIN3B/GNG8/GRIA2/GRIN2C/GNG13/SLC1A7/GNG3,53
Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,141/2970,362/9521,8.528206749969617e-4,0.006396155062477212,0.005113020980530984,IL7/PRLR/TNC/RELN/THBS1/EREG/ERBB3/FGF7/PPP2R2B/TNN/FGF16/HGF/BDNF/SPP1/LAMA1/FGF5/LAMA3/ITGA2/LPAR4/GNB5/FGFR2/IKBKB/CHRM2/MYB/NGF/FLT3/ANGPT2/FGF2/IL2RA/COL4A6/LAMC3/COL9A1/ITGA4/TNR/TGFA/LAMB4/COMP/COL9A2/PIK3AP1/LPAR3/GH2/PCK2/SYK/COL1A1/IL4R/ITGB8/IFNA21/TLR2/COL2A1/GNG4/IFNA10/FGF20/IL4/FGF9/GNB3/FASLG/FGF23/FGF18/CCNE2/IL6/PIK3CG/IFNA2/SGK2/IFNA7/COL6A5/CSF1R/CDKN1A/OSMR/COL6A6/THBS2/ITGB7/PCK1/NTRK2/PIK3R5/EFNA5/LAMA4/FGF19/THBS4/GNGT1/CD19/MYC/LPAR1/CSHL1/EIF4E1B/FGF3/IFNA16/IL7R/CSH1/FGF17/PRL/CREB3L3/IBSP/COL9A3/CHRM1/FGF8/CCND1/IFNA17/IFNA13/FGF4/LPAR5/G6PC2/LAMC2/PIK3R6/JAK3/ITGA10/COL6A3/NTRK1/FLT3LG/COL1A2/TCL1B/IL2/F2R/GNGT2/IFNA5/IFNB1/OSM/IFNA6/ITGA2B/IFNA1/TCL1A/NGFR/IFNA14/PDGFD/FN1/IGF1/GNG8/IFNA8/GYS2/IL3/GNG13/CSH2/ANGPT4/IFNA4/EPO/CSF3/CSF3R/GNG3/EFNA2/AREG/NRTN/CHAD,141
Human Diseases,Immune disease,hsa05310,Asthma,19/2970,32/9521,8.969249936115457e-4,0.006583811123318793,0.0052630313174966414,CD40LG/IL5/MS4A2/HLA-DMB/IL10/IL4/FCER1G/TNF/EPX/PRG2/IL13/CCL11/HLA-DQA2/FCER1A/IL9/RNASE3/IL3/HLA-DQB2/HLA-DRB5,19
Human Diseases,Infectious disease: parasitic,hsa05143,African trypanosomiasis,21/2970,37/9521,0.0011030743113289833,0.007928346612677068,0.006337839244916528,IL18/VCAM1/F2RL1/ICAM1/IDO2/SELE/PRKCB/HPR/KNG1/IL12B/IFNG/PLCB2/IL1B/IL10/FASLG/IL6/TNF/PRKCG/IL12A/LAMA4/NPPA,21
Organismal Systems,Digestive system,hsa04970,Salivary secretion,45/2970,97/9521,0.0011506515032162661,0.008101525889992077,0.006476276989101218,ATP2B3/PRKG2/ADRB1/CHRM3/STATH/CD38/DMBT1/ADCY8/PRH2/PRKCB/LPO/ATP2B2/MUC7/NOS1/KCNN4/PLCB2/BST1/HTN1/BEST2/LYZ/MUC5AC/PRKCG/CALML3/MUC5B/AMY1C/PRB2/ATP1B3/AQP5/CST2/PRKACG/ADRA1A/TRPV6/ATP1A3/CAMP/AMY2A/CST1/PRB1/CST4/ADRB3/HTN3/RYR3/CALML6/AMY1A/CST5/CALML5,45
