category,subcategory,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Metabolism,Xenobiotics biodegradation and metabolism,hsa00980,Metabolism of xenobiotics by cytochrome P450,35/1703,79/9521,4.473146607654006e-8,1.3907419452887909e-6,1.1814243671890008e-6,CYP1A1/DHDH/ALDH3A1/ALDH3B2/CYP2A7/CYP3A5/GSTA5/CYP2C9/CYP3A4/CYP2B6/ADH1A/AKR7A3/UGT2A3/UGT1A9/CYP2A13/CYP2F1/UGT1A8/GSTT4/UGT1A7/UGT1A1/UGT2A1/GSTA1/UGT2B17/CYP1A2/UGT1A6/CYP2D6/CYP2A6/UGT2B7/GSTA2/UGT2B4/UGT2B15/ADH6/SULT2A1/UGT2B11/UGT1A3,35
Metabolism,Xenobiotics biodegradation and metabolism,hsa00982,Drug metabolism - cytochrome P450,33/1703,73/9521,5.9603307720403854e-8,1.6986942700315097e-6,1.4430274500729353e-6,AOX1/FMO1/ALDH3A1/CYP2C19/ALDH3B2/CYP2A7/CYP3A5/GSTA5/CYP2C9/CYP3A4/CYP2B6/ADH1A/UGT2A3/UGT1A9/UGT1A8/GSTT4/UGT1A7/CYP2C8/UGT1A1/UGT2A1/GSTA1/UGT2B17/CYP1A2/UGT1A6/CYP2D6/CYP2A6/UGT2B7/GSTA2/UGT2B4/UGT2B15/ADH6/UGT2B11/UGT1A3,33
Organismal Systems,Immune system,hsa04610,Complement and coagulation cascades,37/1703,88/9521,9.889861591135774e-8,2.601794357052642e-6,2.2102038859542297e-6,ITGAX/BDKRB1/BDKRB2/PLAUR/F5/CFB/F2/F2RL2/SERPINA1/CFHR5/CR1L/SERPINC1/FGA/SERPINB2/MASP2/SERPINE1/C9/C8B/C2/KNG1/C5AR1/FGB/C8A/CR1/CR2/F7/F11/F13B/PLAU/CPB2/CFHR4/F12/C7/PLG/C4BPA/SERPIND1/F2RL3,37
Environmental Information Processing,Signaling molecules and interaction,hsa04061,Viral protein interaction with cytokine and cytokine receptor,39/1703,100/9521,4.84468070215538e-7,1.1834862858122428e-5,1.0053623111239735e-5,IL6/CCL22/CXCL3/CXCL8/CCL11/TNFRSF10D/CXCL14/TNFSF14/IL18R1/IL18RAP/CXCL5/IL19/CXCL2/CXCR1/IL24/CXCL1/CCR4/IL10/CCL25/IL22RA1/CCL2/CXCL6/CCR9/CCR3/CCL1/CXCR2/CXCL13/CXCR5/TNFRSF10C/CCR6/CCL20/LTA/IL2/CCL16/CCL26/CCL17/CXCL11/CCL4/IL20,39
Organismal Systems,Sensory system,hsa04742,Taste transduction,35/1703,86/9521,5.629948125576279e-7,1.2836281726313917e-5,1.090432058006353e-5,SCNN1A/TAS2R1/GABRA2/GRM1/HTR1E/HTR3A/ASIC2/PKD2L1/CHRM3/SCNN1G/HTR3E/KCNK5/TAS2R42/HTR3C/SCN2A/GRM4/HTR3B/PKD1L3/CACNA1A/GNAT3/ADCY8/GABRA1/HTR1D/GABRA4/HCN4/GABRA5/GABRA6/TAS2R7/TAS1R1/HTR1A/TAS1R2/HTR3D/PRKACG/TAS2R38/TRPM5,35
Organismal Systems,Nervous system,hsa04726,Serotonergic synapse,42/1703,115/9521,1.4151560329704994e-6,3.0248960204744426e-5,2.5696254282885386e-05,HTR7/SLC18A1/SLC6A4/PTGS2/GABRB3/PRKCG/CACNA1D/GNG4/CACNA1B/HTR6/PRKCB/HTR1E/KCNJ3/ALOX15/CYP2C19/HTR3A/GNGT2/HTR3E/ALOX15B/ALOX5/HTR3C/TPH2/KCNJ5/CYP2C9/ALOX12/HTR3B/CACNA1A/HTR4/PLA2G4D/KCNJ6/HTR2B/HTR1D/KCNJ9/CYP2C8/HTR1A/CYP2D6/HTR3D/CACNA1F/PRKACG/GABRB1/CYP2C18/HTR5A,42
Metabolism,Lipid metabolism,hsa00591,Linoleic acid metabolism,17/1703,30/9521,2.0481605395858303e-6,4.1204170855197293e-5,3.5002619747720694e-5,PLA2G1B/PLB1/ALOX15/CYP2C19/PLA2G2C/PLAAT2/PLA2G10/CYP2C9/CYP3A4/PLA2G12B/PLA2G2F/PLA2G4D/PLA2G2D/CYP2C8/CYP1A2/PLA2G5/PLA2G2E,17
Organismal Systems,Digestive system,hsa04975,Fat digestion and absorption,21/1703,43/9521,3.3098134257463745e-6,6.288645508918111e-5,5.34215500295906e-5,CD36/LIPF/ABCG8/PLA2G1B/ABCG5/PLA2G2C/MTTP/PNLIP/PLA2G10/MOGAT2/PLPP2/PNLIPRP1/PLA2G12B/FABP1/PLA2G2F/PLA2G2D/MOGAT3/APOA4/CLPS/PLA2G5/PLA2G2E,21
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,38/1703,105/9521,5.703446881694528e-6,1.026620438705015e-4,8.721060051787754e-5,COL25A1/COL11A1/SLC8A2/COL10A1/COL1A1/CTRB2/COL2A1/CELA2B/SLC36A3/COL26A1/COL24A1/COL19A1/KCNK5/SLC7A7/COL9A1/CPA1/COL17A1/MEP1A/PRSS3/COL6A5/COL20A1/COL22A1/MEP1B/SLC15A1/SLC6A19/PRSS1/KCNN4/CPA2/SLC7A9/SLC3A1/CPB2/COL9A2/PRSS2/COL1A2/COL8A2/ATP1A3/SLC9A3/PGA5,38
Organismal Systems,Nervous system,hsa04727,GABAergic synapse,33/1703,89/9521,1.2889146625967181e-5,2.2040440730403883e-4,1.8723181414562854e-4,GABRA2/GABRB3/PRKCG/CACNA1D/GNG4/CACNA1B/PRKCB/SLC6A13/SLC6A11/GNGT2/GAD2/SLC6A12/GABRR3/GABRG3/SLC12A5/CACNA1A/GLS2/HAP1/GABRG1/KCNJ6/ADCY8/GABRA1/GABRA4/GABRP/GABRA5/GAD1/GABRA6/GABRG2/CACNA1F/PRKACG/GABRB1/GABRR1/GABRQ,33
Organismal Systems,Immune system,hsa04657,IL-17 signaling pathway,34/1703,95/9521,2.2908053594536088e-5,3.7307401568244486e-4,3.169234482251609e-4,IL6/MMP9/IL1B/IL17D/CXCL3/CXCL8/MMP3/CCL11/FOSL1/PTGS2/CXCL5/IL13/IL17B/CXCL2/S100A7/TNFAIP3/CXCL1/S100A7A/FOSB/IKBKE/CCL2/S100A8/CSF2/CXCL6/IFNG/CSF3/IL17C/MUC5AC/S100A9/CCL20/IL5/CCL17/IL25/IL17A,34
Organismal Systems,Immune system,hsa04640,Hematopoietic cell lineage,35/1703,100/9521,3.0179576354555916e-5,4.6915523242082376e-4,3.985436877443748e-4,CD36/IL6/IL1B/ANPEP/CD1D/IL1R2/IL11/IL5RA/CSF3R/CD8B/GP1BA/CR1L/CD8B2/IL4R/ITGA2B/CD1A/HLA-DOB/CD7/DNTT/CSF2/FCGR1A/ITGA2/GP5/FLT3/CSF3/CR1/CR2/CD1E/MS4A1/GYPA/CD1B/IL5/IL3/CD19/CD24,35
Environmental Information Processing,Signaling molecules and interaction,hsa04512,ECM-receptor interaction,32/1703,89/9521,3.55556455707515e-5,5.286969906607397e-4,4.491239440515979e-4,CD36/NPNT/SDC1/ITGA10/SPP1/SV2A/LAMA1/TNC/COL1A1/TNN/GP1BA/DMP1/TNR/COL2A1/CHAD/SV2C/LAMB4/ITGA2B/COMP/COL9A1/HMMR/THBS1/ITGB8/MEPE/COL6A5/LAMC3/ITGA2/GP5/DSPP/COL9A2/COL1A2/THBS4,32
Cellular Processes,Cell motility,hsa04814,Motor proteins,58/1703,197/9521,4.1326197025471415e-5,5.888983076129677e-4,5.002644903083381e-4,MYH4/MYO15A/MYH15/KIF2C/MYH8/MYL5/MYO5B/DNAI4/KIF26B/TNNT1/KIF25/KIF14/MYO1H/KIF15/TUBB2B/DNAH2/DNAH9/KIF1A/DNAH12/DNAI1/DNAH10/KIF5A/TUBB3/MYH3/DNAH17/BICDL1/MYL4/DNAH14/KIF5C/KIFC1/MYH13/DNAH7/MYO1A/KIF6/MYO1F/DNAH8/KLC3/DNAH6/TUBA3D/KIF18B/CENPE/DNAI2/KIF4B/DNAH5/KIF11/DNAI3/MYO3B/KIF23/TUBB4A/MYO16/MYL6B/ACTC1/TUBA3E/TUBAL3/TUBB8B/KIF12/CAPZA3/TUBB8,58
Metabolism,Lipid metabolism,hsa00590,Arachidonic acid metabolism,24/1703,63/9521,1.1671084788879014e-4,0.0015679115403924382,0.0013319285477017943,CYP4F3/PTGS2/PLA2G1B/PLB1/ALOX15/CYP2C19/PLA2G2C/ALOX15B/ALOX5/CYP4F2/PLAAT2/PLA2G10/ALOXE3/CYP2C9/CYP2B6/ALOX12/PLA2G12B/PLA2G2F/PLA2G4D/PLA2G2D/CYP2C8/CYP4F8/PLA2G5/PLA2G2E,24
Human Diseases,Infectious disease: bacterial,hsa05150,Staphylococcus aureus infection,34/1703,102/9521,1.1919795336316782e-4,0.0015679115403924382,0.0013319285477017943,FPR2/KRT24/FCAR/CFB/KRT27/FPR1/KRT12/ICAM1/KRT32/IL10/KRT40/HLA-DOB/MASP2/KRT15/KRT39/KRT33A/C2/FCGR1A/C5AR1/KRT16/KRT35/KRT9/DSG1/KRT25/KRT13/KRT38/KRT28/FCGR3B/KRT23/KRT18/KRT14/PLG/KRT36/KRT17,34
Human Diseases,Endocrine and metabolic disease,hsa04950,Maturity onset diabetes of the young,13/1703,26/9521,1.8704141894894966e-4,0.0023691913066866957,0.0020126094202694,PAX6/HNF4A/NKX6-1/PAX4/HNF4G/PKLR/GCK/HNF1B/RFX6/HNF1A/SLC2A2/NEUROD1/ONECUT1,13
Human Diseases,Infectious disease: parasitic,hsa05144,Malaria,20/1703,50/9521,1.967081953858571e-4,0.0024026501007843974,0.0020410324032517505,CD36/IL6/IL1B/SDC1/CXCL8/SELE/CR1L/ICAM1/IL10/COMP/CCL2/THBS1/KLRB1/GYPB/TLR2/IFNG/CSF3/CR1/GYPA/THBS4,20
Human Diseases,Substance dependence,hsa05032,Morphine addiction,30/1703,91/9521,3.63883619578537e-4,0.004291317168822746,0.0036454402542169225,GABRA2/GABRB3/PRKCG/GNG4/CACNA1B/PRKCB/KCNJ3/GNGT2/GABRR3/PDE11A/GABRG3/KCNJ5/CACNA1A/GABRG1/KCNJ6/ADCY8/GABRA1/GABRA4/PDE8B/GABRP/GABRA5/GABRA6/GABRG2/KCNJ9/DRD1/PRKACG/OPRM1/GABRB1/GABRR1/GABRQ,30
Organismal Systems,Digestive system,hsa04972,Pancreatic secretion,33/1703,106/9521,6.124868937690879e-4,0.006982350588967602,0.005931452023869061,SCT/PRKCG/PRKCB/PLA2G1B/CTRB2/CLCA2/CELA2B/CHRM3/PLA2G2C/PNLIP/AMY2A/SCTR/CPA1/PRSS3/PLA2G10/PNLIPRP1/PLA2G12B/PRSS1/SLC26A3/PLA2G2F/PLA2G2D/CFTR/ADCY8/CPA2/CCK/CLCA1/ATP2B3/CPB2/PRSS2/CLCA4/ATP1A3/PLA2G5/PLA2G2E,33
Organismal Systems,Sensory system,hsa04744,Phototransduction,13/1703,29/9521,7.168330897135895e-4,0.007841680560564923,0.00666144609023059,SAG/PDE6A/PDE6G/GNAT1/GUCY2D/GNAT2/CALML3/RHO/GRK7/GUCA1A/CNGB1/PDE6B/GRK1,13
Metabolism,Carbohydrate metabolism,hsa00040,Pentose and glucuronate interconversions,15/1703,36/9521,7.337244968949636e-4,0.007841680560564923,0.00666144609023059,DHDH/AKR1B15/UGT2A3/UGT1A9/UGT1A8/UGT1A7/UGT1A1/UGT2A1/UGT2B17/UGT1A6/UGT2B7/UGT2B4/UGT2B15/UGT2B11/UGT1A3,15
Organismal Systems,Nervous system,hsa04724,Glutamatergic synapse,35/1703,116/9521,8.065621028961119e-4,0.00835891633910516,0.007100833824539933,SHANK1/PRKCG/GRM8/CACNA1D/GNG4/GRIK4/GRIA1/GRIA2/GRM1/PRKCB/GRIN2D/GRM6/KCNJ3/PPP3R2/GNGT2/SLC17A8/SLC1A6/GRM7/GRM4/GRIN2A/SHANK2/GRM5/GRIK2/CACNA1A/GLS2/GRIN3A/GRIA4/GRIN2B/PLA2G4D/DLGAP1/ADCY8/SLC17A6/GRIN1/GRM3/PRKACG,35
Human Diseases,Substance dependence,hsa05031,Amphetamine addiction,23/1703,69/9521,0.0014367893319994114,0.014452410339523492,0.012277209152688469,SLC18A1/PRKCG/CACNA1D/GRIA1/GRIA2/CREB3L1/PRKCB/GRIN2D/PPP3R2/CALML3/FOSB/SLC6A3/GRIN2A/GRIN3A/GRIA4/GRIN2B/CAMK4/GRIN1/DRD1/PRKACG/PDYN/ARC/TH,23
Metabolism,Carbohydrate metabolism,hsa00053,Ascorbate and aldarate metabolism,13/1703,31/9521,0.001529971523776239,0.01495000746089925,0.01269991400187194,UGT2A3/UGT1A9/UGT1A8/UGT1A7/UGT1A1/UGT2A1/UGT2B17/UGT1A6/UGT2B7/UGT2B4/UGT2B15/UGT2B11/UGT1A3,13
Organismal Systems,Digestive system,hsa04979,Cholesterol metabolism,18/1703,51/9521,0.0022429347110863715,0.02130787975532053,0.01810087661578475,CD36/SOAT2/LIPG/PCSK9/ABCG8/LPL/ABCG5/APOC3/LRP2/LIPC/LDLR/ABCB11/APOC1/ANGPTL4/APOA4/STAR/APOA2/LPA,18
Metabolism,Xenobiotics biodegradation and metabolism,hsa00983,Drug metabolism - other enzymes,25/1703,81/9521,0.0030480908473291043,0.028174245129366317,0.02393380010989567,DPYS/NAT1/XDH/CYP2A7/UPP2/GSTA5/CYP3A4/UGT2A3/UGT1A9/UGT1A8/GSTT4/UGT1A7/RRM2/UGT1A1/UGT2A1/GSTA1/UGT2B17/UGT1A6/CYP2A6/UGT2B7/GSTA2/UGT2B4/UGT2B15/UGT2B11/UGT1A3,25
Metabolism,Lipid metabolism,hsa00592,alpha-Linolenic acid metabolism,11/1703,26/9521,0.0032147243268974683,0.028932518942077216,0.024577947762429397,PLA2G1B/PLB1/PLA2G2C/PLAAT2/PLA2G10/PLA2G12B/PLA2G2F/PLA2G4D/PLA2G2D/PLA2G5/PLA2G2E,11
Human Diseases,Infectious disease: parasitic,hsa05146,Amoebiasis,30/1703,103/9521,0.0033412028538684357,0.029299778872384746,0.024889932190760817,IL6/IL1B/CXCL3/CXCL8/CD1D/IL1R2/LAMA1/PRKCG/PRKCB/COL1A1/CXCL2/SERPINB13/CXCL1/IL10/LAMB4/CD1A/C9/C8B/CSF2/TLR2/IFNG/LAMC3/C8A/ARG1/CD1E/CD1B/COL1A2/PRKACG/MUC2/SERPINB3,30
Human Diseases,Substance dependence,hsa05030,Cocaine addiction,17/1703,49/9521,0.0036133064344496127,0.03089377001454419,0.02624401515547613,SLC18A1/GRIA2/CREB3L1/GRIN2D/DRD2/FOSB/SLC6A3/GRIN2A/BDNF/GRIN3A/GRIN2B/GRIN1/GRM3/DRD1/PRKACG/PDYN/TH,17
