ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0070330,aromatase activity,19/3593,26/18496,4.617833390520568e-9,1.472429161091701e-7,1.2304963560905934e-7,CYP1A1/CYP4F3/CYP3A43/CYP2C19/CYP2A7/CYP4F2/CYP3A5/CYP19A1/CYP2C9/CYP3A4/CYP2A13/CYP2F1/CYP4F11/CYP4A11/CYP2C8/CYP4F8/CYP1A2/CYP2C18/CYP3A7,19
GO:0015293,symporter activity,59/3593,149/18496,9.170964935600717e-9,2.8429991300362226e-7,2.375869863433402e-7,SLC16A7/SLC45A3/SLC18A1/SLC4A7/SLC45A1/SLC4A8/MFSD2A/SLC28A3/SLC12A3/SLC16A3/SLC13A4/SLC17A1/SLC6A4/SLC6A15/SLC10A6/MFSD2B/SLC45A2/SLC6A13/SLC6A11/SLC12A8/SLC6A17/SLC17A8/SLC5A5/SLC36A3/SLC1A6/SLC6A12/SLC12A1/SLC39A12/SLC5A10/SLC6A7/SLC6A3/SLC46A2/SLC24A2/SLC28A2/SLC4A10/SLC5A9/SLC23A1/SLC12A5/SLC13A5/SLC17A4/SLC15A5/SLC15A1/SLC17A2/SLC6A19/SLC4A9/SLC5A8/SLC5A12/SLC13A2/SLC10A1/SLC13A1/SLC17A6/SLC6A5/SLC34A1/SLC10A2/SLC6A2/SLC5A7/SLC17A3/SLC5A11/SLC34A2,59
GO:0015103,inorganic anion transmembrane transporter activity,60/3593,153/18496,1.0578218435296552e-8,3.190619398321879e-7,2.666373124800212e-7,SLC18A1/SLC4A7/CLCNKA/SLC4A8/SLC12A3/ABCC11/SLC13A4/SLC17A1/ABCC3/SLC6A4/SLC26A5/GABRA2/GABRB3/BSND/SLC6A13/BEST1/SLC6A11/SLC12A8/CLCA2/CLCNKB/SLC22A11/SLC17A8/SLC5A5/OCA2/GLRA1/ANO4/SLC6A12/SLC12A1/GABRR3/SLC22A8/SLC6A3/TTYH1/GABRG3/SLC4A10/SLC12A5/ANO3/SLC26A8/SLC4A9/ADAMTS8/SLC26A3/AQP6/CFTR/GABRG1/GABRA1/GLRA3/BEST4/GABRA4/GABRP/CLCA1/SLC13A1/SLC17A6/GABRA5/GABRA6/GABRG2/SLC6A2/CLCA4/BEST2/GABRB1/GABRR1/GABRQ,60
GO:0005549,odorant binding,51/3593,122/18496,1.0864871007662396e-8,3.190841064355588e-7,2.666558369193596e-7,OR5AU1/OR10W1/OR5K1/OR9Q1/OR8K3/OR12D3/OR8J3/OR2C1/OR10R2/OR5P2/OR8B12/OR8H1/OR8G5/OR5A2/OR8B8/OR5K2/OR5T1/OR5AN1/OR8B3/OR4E2/OR8U1/OR10Z1/OR5M3/OR8H2/OR5D16/OR14C36/OR13A1/OR5H1/OR4E1/OR9Q2/OR5AC2/OR5B12/OR9G4/OR8J1/OR5M1/OR5P3/OR8G1/OR5D13/OR10K2/OR5L1/OR8D1/OR13G1/OR10J1/OR5A1/OR8D4/OR5M11/OR10K1/OR8A1/GPR148/OR10T2/OR5AR1,51
GO:0099589,serotonin receptor activity,19/3593,27/18496,1.273226132253848e-8,3.643385547680242e-7,3.044745892515275e-7,HTR7/HTR6/HTR1E/HTR3A/CHRM3/HTR3E/HTR3C/HRH2/CHRM5/HTR3B/HTR4/HTR2B/HTR1D/CHRM2/HTR1A/HTR3D/CHRM4/HTR5A/HRH3,19
GO:0004497,monooxygenase activity,45/3593,104/18496,2.2255851178265115e-8,6.209382478735966e-7,5.189127406300761e-7,CYP1A1/CYP4F3/FMO1/MOXD1/DBH/CYP3A43/CYP11A1/CYP2C19/CYP2A7/CYP27C1/CYP4F2/CYP3A5/CYP19A1/KMO/PAH/CYP4F22/TPH2/CH25H/TYRP1/CYP24A1/CYP2C9/CYP3A4/CYP2B6/CYP21A2/CYP17A1/AKR1D1/NLRP11/TYR/CYP2A13/CYP2F1/CYP8B1/CYP11B1/CYP4F11/CYP4A11/CYP2C8/CYP4F8/CYP1A2/CYP2D6/CYP2A6/AKR1C4/CYP2C18/CYP27B1/TH/CYP3A7/CYP26A1,45
GO:0022848,acetylcholine-gated monoatomic cation-selective channel activity,17/3593,23/18496,2.3351554444379487e-8,6.356179209738416e-7,5.311804168862702e-7,CHRND/HTR3A/CHRNB4/HTR3E/CHRNA7/CHRNA2/HTR3C/CHRNB2/CHRNA6/HTR3B/CHRNA3/CHRNA9/CHRNB3/CHRNA4/CHRNG/ZACN/HTR3D,17
GO:0005179,hormone activity,51/3593,126/18496,3.901496620689528e-8,1.0366833877832174e-6,8.663473699074992e-7,SCT/CALCA/INHBA/FBN2/STC2/PPY/SPX/TG/RETNLB/GHRH/ERFE/CALCB/GIP/UTS2B/CCL25/NPPA/INHBC/PYY/PNOC/SST/ASIP/QRFP/KNG1/GAL/ADCYAP1/RLN2/INSL3/GCG/CRH/CCK/CHGB/OSTN/TTR/STC1/TRH/EDN2/UTS2/CSH1/GPHA2/VGF/BMP10/INSL4/PENK/INSL6/MLN/REG3A/INHA/INSL5/UCN3/FSHB/HAMP,51
GO:0015108,chloride transmembrane transporter activity,49/3593,120/18496,5.142692811710385e-8,1.3347081808997185e-6,1.1154041202387763e-6,SLC18A1/CLCNKA/SLC4A8/SLC12A3/SLC6A4/SLC26A5/GABRA2/GABRB3/BSND/SLC6A13/BEST1/SLC6A11/SLC12A8/CLCA2/CLCNKB/SLC17A8/OCA2/GLRA1/ANO4/SLC6A12/SLC12A1/GABRR3/SLC6A3/TTYH1/GABRG3/SLC4A10/SLC12A5/ANO3/SLC26A8/SLC4A9/SLC26A3/CFTR/GABRG1/GABRA1/GLRA3/BEST4/GABRA4/GABRP/CLCA1/SLC17A6/GABRA5/GABRA6/GABRG2/SLC6A2/CLCA4/BEST2/GABRB1/GABRR1/GABRQ,49
GO:0008509,monoatomic anion transmembrane transporter activity,55/3593,141/18496,5.292656778892036e-8,1.3424102193735254e-6,1.1218406473919481e-6,SLC18A1/SLC4A7/CLCNKA/SLC4A8/SLC12A3/SLC6A4/SLC26A5/GABRA2/GABRB3/BSND/SLC6A13/BEST1/SLC6A11/SLC12A8/CLCA2/CLCNKB/SLC17A8/SLC5A5/OCA2/GLRA1/ANO4/SLC6A12/SLC12A1/GABRR3/SLC6A3/TTYH1/GABRG3/SLC4A10/SLC12A5/ANO3/SLC26A8/SLC4A9/SLC26A3/CFTR/GABRG1/GABRA1/GLRA3/BEST4/GABRA4/CCT8L2/GABRP/CLCA1/SLC13A1/LRRC8E/SLC17A6/GABRA5/GABRA6/GABRG2/SLC6A2/CLCA4/BEST2/GABRB1/GABRR1/SLC17A3/GABRQ,55
GO:0004222,metalloendopeptidase activity,46/3593,110/18496,5.5341861071689426e-8,1.372478154577898e-6,1.1469681616261246e-6,MMP9/KEL/ADAMTS3/MMP19/MMP3/ADAMTS4/ADAMTS16/ADAM28/PAPPA2/MMP11/ADAM12/ASTL/CLCA2/TRABD2A/MMP25/PHEX/KLK7/MMP12/MMP14/MEP1A/ADAM11/ADAM29/MMP21/MEP1B/ADAMTS8/MMP16/MMP20/ADAM21/ADAM7/ADAMTS20/TMPRSS6/MMP24/ADAMTS14/ADAMDEC1/CLCA1/MMP7/ECEL1/ADAMTS18/MMP10/PRSS2/ADAM18/CLCA4/ADAM30/ADAM2/ADAMTS2/MMEL1,46
GO:0008066,glutamate receptor activity,18/3593,27/18496,1.1415693604763527e-7,2.7695465354165427e-6,2.3144861633456482e-6,GRM8/GRIK4/GRIA1/GRIA2/GRM1/GRIN2D/GRM6/GRM7/GRM4/GRIN2A/GRM5/GRID2/GRIK2/GRIN3A/GRIA4/GRIN2B/GRIN1/GRM3,18
GO:1901618,organic hydroxy compound transmembrane transporter activity,27/3593,53/18496,2.648380560323464e-7,6.288495117704226e-6,5.255241156655295e-6,SLC16A7/SLC18A1/AQP9/ABCA4/SLC16A3/AQP7/ABCC11/ABCC3/SLC6A4/SLC10A6/ABCG4/STRA6/SLC51A/SLC6A3/ABCB11/SLCO1C1/SLC5A8/SLC51B/SLC5A12/SLCO1A2/SLC10A1/SLC10A2/SLC6A2/SLCO1B3/AQP2/AKR1C4/SLC5A11,27
GO:0008395,steroid hydroxylase activity,17/3593,26/18496,3.957786931981931e-7,9.20185461685799e-6,7.689910573982437e-6,CYP1A1/CYP3A43/CYP11A1/CYP2C19/CYP3A5/CYP19A1/CH25H/CYP2C9/CYP3A4/CYP2B6/CYP21A2/CYP17A1/CYP8B1/CYP11B1/CYP2C8/CYP1A2/CYP3A7,17
GO:0004890,GABA-A receptor activity,14/3593,19/18496,4.5916961521737246e-7,1.0457822256787505e-5,8.73951190295579e-6,GABRA2/GABRB3/GABRR3/GABRG3/GABRG1/GABRA1/GABRA4/GABRP/GABRA5/GABRA6/GABRG2/GABRB1/GABRR1/GABRQ,14
