gene,log2FC,p_value,FDR
ACTL6A,0.5584456306661085,7.366968074430042e-09,
ACTL7A,-1.3650576494049622,0.008587250790942193,
ACTN2,0.707739998030085,4.1204768999116865e-07,
ACTN4,0.6824035025113407,8.435753199843818e-09,
ACTR1A,0.7522915079343205,3.53659984897129e-11,
ACTR1B,0.7487057882305609,6.9980843707319126e-15,
ACTR2,0.7225044679714104,7.186722653825851e-12,
ACTR3,0.6215254889858849,3.6452435249266686e-08,
ACTR3B,0.6585383745755137,3.4327820231589646e-10,
ACTR5,0.5595519371825448,2.791040167631603e-08,
ACTR6,0.6947150578494163,1.224459058398085e-12,
ACTR8,0.7264202786738009,7.957570963318609e-11,
ACTR10,0.745033099870891,2.763108181339616e-15,
ACVR1,0.6747088284531011,1.1066363823507193e-06,
ACVR1B,0.5655464949845403,4.802221002272159e-10,
ACVR2A,0.7233589053392355,3.124144161930744e-14,
ACVR2B,0.6370232845165291,2.545107644391726e-09,
ACVRL1,0.657420507792207,2.0943851965676277e-09,
ACYP1,0.7419108454229842,8.167455588528996e-12,
ACYP2,0.8471927085745503,1.5534910252304382e-14,
ADA,0.6592858800552728,7.0129931504927804e-06,
ADA2,0.8790580602900544,2.2183866879287843e-05,
ADAL,0.758923015396361,4.617316775887065e-13,
ADAM9,0.7371349776175075,3.920302898693941e-09,
ADAM10,0.7262460171365354,2.673141761036272e-12,
ADAM15,0.6912543047426952,1.1509651222734923e-10,
ADAM17,0.5232328059021554,2.7893727784157353e-06,
ADAM19,0.6088234986237135,1.2187352601637209e-07,
ADAM20,0.793099811782217,8.398766036457706e-11,
ADAM22,0.6073091550513963,0.00017217918713066904,
ADAM23,0.6675975526419005,6.997588603358202e-06,
ADAM33,0.8541564041064443,0.0027640761098999857,
ADAMTS5,0.7430578389364016,1.0443537729487702e-06,
ADAMTS7,0.7135679146100841,0.003559786476353933,
ADAMTS10,0.7953095803913498,1.5603800824398266e-05,
ADAMTS13,0.6450830216155816,2.3142446260581483e-08,
ADAMTS17,0.6154076660963165,0.00018601823123797032,
ADAMTSL2,0.8023037884005324,0.00020946692613378926,
ADAMTSL3,0.5331361361753183,4.887591907513337e-05,
ADAMTSL4,0.8493695717445402,4.278401505178086e-06,
ADAMTSL5,0.6978106128679781,4.611774375844927e-07,
ADAP2,0.8689227453961469,8.092251009702078e-05,
ADAR,0.7666028471508477,1.037827670419727e-10,
ADARB1,0.8063028182384423,1.5963424502691666e-08,
ADAT1,0.5933536786277164,7.446328973550181e-09,
