gene,log2FC,p_value,FDR,baseMean,lfcSE,stat
SMTN,-0.11421382648009078,0.290058457533174,0.6177125101441145,1618.1205482849357,0.10796101625971344,-1.0579933865016014
ATXN1,-0.10643984896431233,0.2902059552819929,0.6179357394805557,3825.3502189698097,0.10064151789799754,-1.0576699159216973
AL512603.2,-0.25094451223870423,0.29024566498100096,0.6179357394805557,410.4512384365332,0.24495878581771804,-1.0575828492992747
CAV1,0.1251795993594524,0.29048249548580674,0.618264460099686,1805.7647754277875,0.118406264818463,1.0570637462873445
EGFL7,0.13983642367794574,0.2904439448785791,0.618264460099686,555.5002116681716,0.13224740998519888,1.0571482250131148
PIP4P1,0.08337906137776402,0.29063713126428387,0.6185058314790073,205.54978432345757,0.07890777798022686,1.0567249575487485
CETN2,0.09599784251258363,0.29072799145011485,0.6185965949166617,102.28999997128982,0.09087328230046528,1.0565259501640853
FOXC1,0.2002461724481004,0.29076225523347654,0.6185965949166617,370.9533854579596,0.18914003785096994,1.0564509144510439
FRMPD4,-0.23722328759655514,0.29108486140556045,0.6191951227942162,29.559945431926465,0.22649061553969962,-1.0557447169490544
VPS13B,0.060986137640196086,0.2911964380034897,0.619344642916539,2252.8891114099497,0.057779392502890554,1.0555005939287816
IL12A-AS1,-0.2222259786054892,0.2912920371706612,0.6194601431240556,24.729598178893625,0.2315800906551442,-1.0552914786114125
STAT5A,0.11187651447505452,0.29140842455013033,0.6196198124275698,464.5073487410681,0.10603669020468881,1.0550369530626176
AC099792.1,-0.2463713235978839,0.29146129148029964,0.6196443925022641,25.33583034338842,0.23685876652297003,-1.0549213618579993
AC099754.1,0.2695120394246533,0.291684004307308,0.6200300054717198,175.53058291757048,0.2437263827962056,1.0544345647963673
PDK2,-0.14045348624199605,0.2917721830936476,0.6201295719166631,3273.056980842678,0.13326251224356792,-1.05424189606027
TNNC2,-0.17955488110624707,0.2918755423667951,0.6202362390630114,3572.890165957299,0.17055041383332822,-1.0540161080984822
AC138627.1,-0.18128249847536063,0.2919050628481341,0.6202362390630114,56.6720485453252,0.1721197365131269,-1.0539516305771772
KLRG1,-0.12197162879796906,0.29200384915202243,0.6203582695269068,67.41494671288659,0.11572598784544386,-1.0537358971175996
KCNH5,-0.23257464362207697,0.2921490962861354,0.6205789568660885,29.2906782748036,0.23797953169770675,-1.0534187896831915
PLCB1-IT1,-0.15454664464831436,0.2923752092765736,0.6209713314962312,24.41984343796411,0.1466595045926832,-1.0529253444457665
CD36,-0.18808383574152865,0.29252074291352664,0.6211606226368059,5316.120048910644,0.17896542117814065,-1.0526078826873293
IQCG,0.14718069646184326,0.2925471501185944,0.6211606226368059,84.85287176144803,0.13982885828132546,1.0525502903450998
ZNF428,0.11413079568584679,0.292686522477464,0.6213685994458588,133.90875801691917,0.10846740535210775,1.0522463864017182
LY6K,0.2236694626145246,0.29286067080139755,0.6213865520073217,28.390653159384645,0.2119086295789201,1.0518667893664508
PIGX,-0.09792896434337053,0.2928403241959538,0.6213865520073217,239.2937227597301,0.0930932417558388,-1.0519111317356196
TIMM29,-0.09613771389629627,0.292756988610732,0.6213865520073217,71.85886804318906,0.09135766705678905,-1.0520927707094374
UHMK1,-0.09215778099265672,0.292808518004523,0.6213865520073217,1857.4384685402156,0.08760561695896381,-1.0519804526945
ARRDC1,0.09298511312500297,0.29294317646713075,0.6214511297733781,137.12549214201252,0.08842291272970755,1.051687001859227
DPF2,-0.06777398963480856,0.2929739610530851,0.6214511297733781,922.3099662089228,0.06444654182796404,-1.0516199280953948
SRP14,-0.06845411806273963,0.2930243539501875,0.6214701447203114,1284.2219956813105,0.06510040059881773,-1.0515101417570145
H3C6,-0.22874252398222764,0.29312449007242597,0.6215946388996978,66.86943411725744,0.21887352023885678,-1.0512920220661668
SEMA3A,0.2619563584384682,0.293184993463514,0.6216350652927454,48.95055191186628,0.2436095032891019,1.0511602558892656
MTHFR,-0.10420637867523647,0.293286039398153,0.6216735731258575,1042.8414970909066,0.09915890088124729,-1.0509402355762854
UBN2,-0.07778093446540989,0.29327279526903277,0.6216735731258575,3351.8984559142414,0.07400926244570118,-1.050969070825308
ACSS3,-0.12614367389228912,0.29362054012438316,0.6219663695724977,613.6376045212553,0.12012663773842805,-1.0502122468077142
GFRA2,0.18310150769143377,0.29355792784132323,0.6219663695724977,46.51291638949909,0.1742209664047607,1.050348470351719
SCAMP3,-0.0866197086797022,0.2935023933276478,0.6219663695724977,665.2775342959001,0.08245793551514344,-1.0504693113318009
SFMBT2,-0.12593778400620503,0.293540327337389,0.6219663695724977,543.0975820451453,0.11990844605752603,-1.0503867667156035
SYBU,0.18515919245306464,0.2936729415160324,0.6219663695724977,85.50205273943381,0.17615453117256674,1.0500982537525871
AL512662.1,-0.1935323139930079,0.2936355199619634,0.6219663695724977,30.841965783335116,0.18441906650624926,-1.0501796585426002
HPD,-0.24644374218958826,0.2937197768962744,0.6219777489018933,28.870029206117785,0.23826186552100734,-1.0499963804467036
MORF4L2,-0.0843988325428078,0.29384070132185425,0.6221459930175208,2152.2407759902712,0.08040104355358521,-1.049733403790993
NMRK1,-0.11448078552111417,0.2941463619755491,0.6227052746253474,314.40142836732923,0.10912932820430638,-1.0490690011821118
CMC2,-0.10854640998440547,0.29426230064329734,0.6228628152885711,251.5567332584409,0.10349354972091279,-1.0488171109401703
GBP4,0.1228029421420018,0.2943889943941103,0.6228668957866368,385.5020521503671,0.11710846088098047,1.048541930099463
LRP5,0.08679730664368002,0.2944161791394908,0.6228668957866368,548.1104777047523,0.08278408283360625,1.0484828947459515
PRDM16,-0.1568499986739521,0.2944303151805241,0.6228668957866368,75.40093048231986,0.14962127576778086,-1.0484521978638803
TCAP,-0.14908701562361268,0.2943825749038774,0.6228668957866368,30237.53797924516,0.1422393967408815,-1.0485558714246281
CAMKK2,0.12228186497466173,0.29464985910853014,0.6228779916450825,370.25699546637475,0.11667453410898507,1.0479755777011779
CAPN8,-0.24836331237563683,0.29451436092922223,0.6228779916450825,50.19343467276313,0.2420504027783662,-1.0482697101270373
CATSPERB,-0.22320147992342304,0.2947794380659339,0.6228779916450825,35.71371758014067,0.21399873288033763,-1.047694379200408
HACD1,-0.1678249495836046,0.2946135290302328,0.6228779916450825,359.3132280964484,0.16024143559279239,-1.0480544322561538
LARS1,-0.07538574160225138,0.2949753518196564,0.6228779916450825,2168.38902391178,0.07198333683713971,-1.0472693852098134
NPR2,0.07452267727572903,0.2949259036864965,0.6228779916450825,374.96151436092237,0.07115346593189377,1.0473766347640507
PRRC2C,0.05072000480152867,0.2948895734110391,0.6228779916450825,5238.806412440204,0.048422115629512,1.0474554402772398
PSEN2,-0.11741129700067997,0.29463234087813905,0.6228779916450825,121.35931863476391,0.11202389733250993,-1.0480136002645795
TMEM62,-0.0814898357437942,0.2949454997313202,0.6228779916450825,199.05258265496533,0.07780286726178312,-1.047334130867607
VCL,0.11437312820224661,0.294724707695504,0.6228779916450825,3762.616028108149,0.10914474059268005,1.0478131391346228
WASL,-0.0729842913160827,0.29476485106482875,0.6228779916450825,1236.12382779625,0.06965939608476521,-1.0477260302239046
FAM13A-AS1,-0.1074233148731985,0.29470337192253016,0.6228779916450825,526.7810033144503,0.10251999880497438,-1.0478594398283234
LINC00470,-0.23900973071385254,0.2949707612851312,0.6228779916450825,25.447897731063332,0.24213758559120857,-1.0472793412519836
SRRM2,-0.09311135636987299,0.29526308099828363,0.6233978153490856,33077.91895231416,0.08896437329155744,-1.0466455595042863
SMG8,-0.08057991373921065,0.2953940675802023,0.6235255290726709,161.18528497906576,0.07700265991624661,-1.0463617023405802
LINC01719,-0.17827326965958565,0.2954067018945052,0.6235255290726709,37.653167076631625,0.17042169978301275,-1.0463343273482917
DHFR2,0.1489654663855852,0.295473399131547,0.623568094944993,46.3731748881926,0.14242055667692557,1.0461898262587446
TTC19,-0.06087826485397456,0.2955100051305883,0.623568094944993,493.8335755275605,0.05819334596152747,-1.0461105278085971
NUP43,-0.06942108575872025,0.29562975212438336,0.6237330396087025,639.9123201411189,0.0663765217720057,-1.0458511695218586
PIP5K1B,-0.10767991871709008,0.2958637492266625,0.6241389540358829,139.91401812661258,0.10299866350319312,-1.04534456152049
AL589740.1,-0.2281738947507208,0.2959115329875182,0.6241519834569405,37.00453784374989,0.23645239883753244,-1.0452411417884282
ARHGEF4,-0.10778410273358004,0.29624927203457574,0.6242718542042928,151.65726990574336,0.1031810966819984,-1.0445104822313775
DAZAP2,0.07618950724823964,0.29612542011349197,0.6242718542042928,1672.2584089256586,0.07292377833625258,1.0447783568422633
MVK,-0.1534892887119359,0.296264898714258,0.6242718542042928,157.13516537568947,0.14699366349504966,-1.0444766892047823
