category,subcategory,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,94/1641,298/9521,6.165814700559199e-10,1.905797271081934e-8,1.7346885377649804e-8,TNFRSF11B/IFNA13/CCL20/IL5RA/PRLR/IL19/IFNA2/IL1RL2/CXCL11/IL22/IL7/GDF2/IFNA6/TNFSF18/IFNG/CCL11/TNFRSF13B/TNFSF11/IFNA1/IL36G/IL23R/IL24/FASLG/EDAR/IFNA21/IFNK/IL26/CCL7/BMP10/CXCL13/IL25/IFNA17/CCR9/IL21/NODAL/IFNA4/IL17A/IL36RN/CCL17/GDF5/CCL23/IL12A/CCR6/IL13RA2/IL12B/IL27/IL4/IL1A/CCL26/IL5/IL36B/TNFRSF17/CXCR5/IFNA16/CCR8/CCL1/IFNB1/IL17F/CXCL5/IL2/TNFRSF9/BMP15/XCL1/XCL2/GDF3/CXCL17/IL36A/IL11/CSH1/CXCR6/CCL15/IFNA10/IL1F10/IFNA7/IL20/IL23A/GH2/IL9/IFNL3/IFNW1/IFNE/CCL25/IL3/EPO/IFNA14/CXCL6/CSF2/CSHL1/IL17C/IFNA8/IL31/IL37/IFNL2/CSH2,94
Organismal Systems,Sensory system,hsa04742,Taste transduction,39/1641,86/9521,1.1185003522544323e-9,3.169084331387558e-8,2.884553540024589e-8,CHRM3/GABRA2/GNAT3/SCN2A/CACNA1A/PKD1L3/SCNN1A/PKD2L1/TAS2R7/GRM1/HTR3B/HTR3E/HTR1A/GABRA4/TAS2R38/HTR3D/TAS2R42/GABRA1/GABRA5/GRM4/SCNN1G/GABRA3/TAS2R41/ADCY8/HTR3A/CALHM1/HCN4/GABRA6/TAS2R16/ASIC2/PRKACG/TAS2R1/HTR1E/HTR3C/P2RX2/TAS1R2/TAS2R39/TAS2R60/TAS2R40,39
Organismal Systems,Digestive system,hsa04976,Bile secretion,40/1641,90/9521,1.4337806984798834e-9,3.749887980639695e-8,3.413210731603933e-8,ABCB1/NR1H4/ABCB11/UGT2B4/UGT2B15/UGT2A1/CYP3A4/ABCG8/CFTR/UGT2B10/UGT2B7/SLC51A/SLC10A2/UGT1A10/UGT1A4/UGT1A8/ABCG5/SLCO1A2/SLCO1B1/SLCO1B3/UGT1A1/AQP8/UGT2A3/SLC22A8/ADCY8/UGT2B28/SLC10A1/SLC51B/UGT2B11/UGT1A9/ATP1A3/UGT1A6/PRKACG/SCTR/UGT1A7/CYP7A1/UGT2B17/SLC22A7/SULT2A1/UGT1A3,40
Human Diseases,Cancer: overview,hsa05204,Chemical carcinogenesis - DNA adducts,34/1641,71/9521,2.2444933005190626e-9,5.450912301260581e-8,4.96151150641056e-8,GSTA5/CYP3A5/UGT2B4/UGT2B15/CYP2C9/CYP2C19/UGT2A1/CYP3A4/UGT2B10/UGT2B7/GSTA1/UGT1A10/UGT1A4/UGT1A8/GSTA3/UGT1A1/CYP2A7/CYP2C18/UGT2A3/UGT2B28/NAT2/UGT2B11/CYP2A6/UGT1A9/UGT1A6/CYP2A13/GSTA2/CYP3A7/UGT1A7/UGT2B17/GSTT4/CYP1A2/SULT2A1/UGT1A3,34
NA,NA,hsa04081,Hormone signaling,69/1641,219/9521,1.2797720163349078e-7,2.9008165703591246e-6,2.640371738964652e-6,TRHR/SLCO1C1/GLP1R/HCRTR2/GUCY2C/CALCB/PRKG2/PRLR/LHCGR/GNGT2/GNRHR/IAPP/DRD1/CGA/CRH/OXTR/MC2R/OPRM1/PRLHR/GNGT1/MCHR2/HEPHL1/DRD3/GIPR/PRLH/FSHB/PDYN/SST/PNOC/ADCY8/AVPR1B/ADRB3/CCK/MC4R/GNG4/OPRK1/CCKBR/HAMP/GCG/FSHR/AGTR2/GHRHR/DIO1/GHSR/PRKACG/MC3R/CALCA/MLNR/NPPA/IRS4/CCKAR/SSTR3/CSH1/PMCH/GUCA2A/MLN/UCN3/SSTR4/GH2/MCHR1/TRH/GIP/DRD5/EPO/GHRH/CSHL1/TSHB/HCRT/CSH2,69
Metabolism,Carbohydrate metabolism,hsa00053,Ascorbate and aldarate metabolism,18/1641,31/9521,3.4917239067153533e-7,7.4199133017701255e-6,6.753729135357328e-6,UGT2B4/UGT2B15/UGT2A1/UGT2B10/UGT2B7/UGT1A10/UGT1A4/UGT1A8/UGT1A1/UGT2A3/UGT2B28/UGT2B11/UGT1A9/UGT1A6/UGT1A7/UGT2B17/UGT1A3/MIOX,18
Metabolism,Carbohydrate metabolism,hsa00040,Pentose and glucuronate interconversions,19/1641,36/9521,1.223077861188967e-6,2.446155722377934e-5,2.2265318339910606e-5,UGT2B4/UGT2B15/UGT2A1/UGT2B10/UGT2B7/UGT1A10/RPEL1/UGT1A4/UGT1A8/UGT1A1/UGT2A3/UGT2B28/UGT2B11/UGT1A9/UGT1A6/UGT1A7/UGT2B17/DHDH/UGT1A3,19
Organismal Systems,Digestive system,hsa04975,Fat digestion and absorption,21/1641,43/9521,1.778724672305001e-6,3.359813269909446e-5,3.058158208524388e-5,PLA2G1B/ABCG8/PNLIP/FABP2/LIPF/PNLIPRP1/ABCG5/PLA2G5/MOGAT2/PLA2G12B/PLA2G10/PLA2G2C/PLA2G2F/CLPS/MOGAT3/PLA2G2D/FABP1/APOA1/PLA2G3/APOA4/PLA2G2E,21
Metabolism,Lipid metabolism,hsa00591,Linoleic acid metabolism,16/1641,30/9521,7.196658662421179e-6,1.2878231290648425e-4,1.1721981422447794e-4,CYP2C9/CYP2C19/CYP3A4/PLA2G1B/PLAAT2/ALOX15/PLA2G5/PLA2G12B/PLA2G10/PLA2G4D/PLA2G2C/PLA2G2F/PLA2G2D/CYP1A2/PLA2G3/PLA2G2E,16
Metabolism,Xenobiotics biodegradation and metabolism,hsa00983,Drug metabolism - other enzymes,30/1641,81/9521,1.5413779759518923e-5,2.620342559118217e-4,2.385079604893981e-4,GSTA5/UGT2B4/UPP2/UGT2B15/UGT2A1/CYP3A4/DPYS/UGT2B10/UGT2B7/GSTA1/RRM2/UGT1A10/XDH/UGT1A4/UGT1A8/GSTA3/UGT1A1/CYP2A7/UGT2A3/UGT2B28/NAT2/UGT2B11/CYP2A6/UGT1A9/UGT1A6/GSTA2/UGT1A7/UGT2B17/GSTT4/UGT1A3,30
