"TNFA_NFKB","JAK_STAT","TGF_BETA","ECM_EMT","FA_METAB","GLYCOLYSIS","sample","cluster","pseudotime"
1.77014196001323,1.750272633892,-0.15947574305877,-0.370180819280569,-0.767325599508736,0.968644964933455,"NS.1402.003.NEBNext_dual_i7_192---NEBNext_dual_i5_192.4070-2_R1.bam","1",3
0.301043481094598,-0.173680086638714,0.0707513885132581,-0.0823577848440885,0.375326785348541,-1.23644579496754,"NS.1402.003.NEBNext_dual_i7_197---NEBNext_dual_i5_245.5100_R1.bam","3",2
-0.765052647197328,-0.0697989124502169,0.493216594561959,-0.430018714766387,0.675398819257831,-0.0206840217020275,"NS.1402.003.NEBNext_dual_i7_198---NEBNext_dual_i5_246.5101_R1.bam","3",2
-0.00904316379199793,-0.076642292096936,0.108194544849381,-0.322224861884728,0.088341196737165,-0.632575312851613,"NS.1402.003.NEBNext_dual_i7_199---NEBNext_dual_i5_247.5128_R1.bam","3",2
0.122274214009575,-0.00297869729078964,-0.157374811913103,-0.701485337699444,0.748358909749899,-1.26126880951572,"NS.1402.003.NEBNext_dual_i7_200---NEBNext_dual_i5_248.5134_R1.bam","3",2
-0.379210847576024,-0.127219759710461,0.481178283041696,-0.65023934012317,-0.0395388362258045,0.668653006320239,"NS.1402.003.NEBNext_dual_i7_201---NEBNext_dual_i5_249.5135_R1.bam","3",2
0.455386191376914,0.893622636936895,0.95523575498427,1.08340060520056,-0.119040448990763,0.284932881384913,"NS.1402.003.NEBNext_dual_i7_202---NEBNext_dual_i5_250.5137_R1.bam","3",2
-0.529872610543497,-0.355269898479791,-0.416439453070397,-0.43569798118197,1.24343929186572,-0.748823985165886,"NS.1402.003.NEBNext_dual_i7_203---NEBNext_dual_i5_251.5159_R1.bam","3",2
-0.49151686640584,-0.161373138439019,-0.371139215220157,0.0605911343194156,-0.600997248305076,0.669399568376577,"NS.1402.003.NEBNext_dual_i7_204---NEBNext_dual_i5_252.5162_R1.bam","0",1
-0.0407237345480014,-0.16934061760747,-0.126256372743997,-0.462593902147483,1.1996294017175,-0.815450897403477,"NS.1402.003.NEBNext_dual_i7_205---NEBNext_dual_i5_253.5210_R1.bam","3",2
-0.841682877045787,-0.759297729678403,-0.519864086892318,-0.700184047568861,-0.544186246391479,0.88788988810636,"NS.1402.003.NEBNext_dual_i7_206---NEBNext_dual_i5_254.5211_R1.bam","0",1
-0.281673891722699,-0.36180539950978,-0.00660979333321517,-0.129902893988926,0.0343134072661021,0.512459719349933,"NS.1402.003.NEBNext_dual_i7_207---NEBNext_dual_i5_255.5223_R1.bam","0",1
0.314506076163717,0.423763713038401,-0.392828295046422,-0.530401470785385,0.928045482952782,-0.0505830363188073,"NS.1402.003.NEBNext_dual_i7_208---NEBNext_dual_i5_256.6003_R1.bam","3",2
-0.216164757631452,-0.281925714416171,0.414671515926763,0.5132031238024,1.14780657945854,0.545868955685278,"NS.1402.003.NEBNext_dual_i7_209---NEBNext_dual_i5_257.6142_R1.bam","3",2
-0.623426672779589,0.0165553672369831,-0.0433547132487076,0.718222364589028,0.11767421494668,0.686052532579829,"NS.1402.003.NEBNext_dual_i7_210---NEBNext_dual_i5_258.6143_R1.bam","0",1
0.103751603419635,-0.00365506252106883,-0.440795277235847,-0.636318863853995,-0.799717173589871,0.233377468439888,"NS.1402.003.NEBNext_dual_i7_211---NEBNext_dual_i5_259.6144_R1.bam","0",1
0.443682606381761,-0.0988145745067817,-0.389185622239376,-0.751657248579198,-0.476228021879994,0.339186451160205,"NS.1402.003.NEBNext_dual_i7_212---NEBNext_dual_i5_260.6156_R1.bam","0",1
-0.046975530197901,-0.419555868063919,0.650728324761515,1.43442882346812,0.628195268364276,-0.471132034523776,"NS.1402.003.NEBNext_dual_i7_213---NEBNext_dual_i5_261.6159_R1.bam","2",4
-0.100246972269605,0.282545373117703,-0.488760388327637,-0.275383809159056,0.805592422504998,0.0671082776513262,"NS.1402.003.NEBNext_dual_i7_214---NEBNext_dual_i5_262.6164_R1.bam","3",2
-0.177657872985136,-0.130739229201739,0.441271175759676,0.314661686413848,-0.155908868940518,0.775271265904205,"NS.1402.003.NEBNext_dual_i7_215---NEBNext_dual_i5_263.6170_R1.bam","3",2
-0.413420325308752,-0.552510536553384,1.09722380534345,2.30974333111798,-1.1029976108023,0.507194001750673,"NS.1402.003.NEBNext_dual_i7_216---NEBNext_dual_i5_264.6175_R1.bam","2",4
-0.379122573096515,-0.043702848041903,-0.748220791244446,-0.742167437560629,-1.11179053923363,0.294373425814344,"NS.1402.003.NEBNext_dual_i7_217---NEBNext_dual_i5_265.6181_R1.bam","1",3
-0.646585442314287,-0.575650123619246,-0.117341426426339,-0.371320195669811,0.989087562529641,-0.218328446225678,"NS.1402.003.NEBNext_dual_i7_218---NEBNext_dual_i5_266.6185_R1.bam","3",2
-0.464951779367688,-0.392725325422364,0.444823711068936,0.794543460008994,-0.340484067597853,0.273675799857214,"NS.1402.003.NEBNext_dual_i7_219---NEBNext_dual_i5_267.6189_R1.bam","2",4
1.09112571399683,0.122618701843429,-0.659825884067322,-0.831749074396674,0.0944389893654455,-1.11406620044305,"NS.1402.003.NEBNext_dual_i7_285---NEBNext_dual_i5_237.4093_R1.bam","1",3
-0.408736719472926,-0.0111594011431073,0.881285535992067,-0.236786367482193,-0.363445452776504,0.49149768751177,"NS.1402.003.NEBNext_dual_i7_286---NEBNext_dual_i5_238.4095_R1.bam","0",1
-0.0263095902209092,-0.0189193463944651,-0.682024179008374,-0.713443510730163,0.118818584764012,-0.199534432932188,"NS.1402.003.NEBNext_dual_i7_287---NEBNext_dual_i5_239.4219_R1.bam","3",2
-0.278772503233555,-0.298522825258181,0.757183420273231,2.73041801335647,-0.31861228007369,0.69805225589668,"NS.1402.003.NEBNext_dual_i7_288---NEBNext_dual_i5_240.4260_R1.bam","2",4
0.744459673989503,-0.625009125876768,-1.23278215128283,-0.947730294145812,-0.611708630777919,-0.55121526803698,"NS.1402.003.NEBNext_dual_i7_289---NEBNext_dual_i5_241.4264_R1.bam","1",3
-0.467587430162266,-1.10047453237474,-1.01963631864031,-0.142779708859882,0.27654811869438,-2.61169512575563,"NS.1402.003.NEBNext_dual_i7_290---NEBNext_dual_i5_242.5010_R1.bam","1",3
-0.352427278816261,-0.125616217696778,-0.0182935049314028,-0.257483879742826,-0.0165288982943157,0.206364987670648,"NS.1402.003.NEBNext_dual_i7_291---NEBNext_dual_i5_243.5055-1_R1.bam","0",1
-0.102371132592204,-0.198476775144532,-0.276607490635483,-0.453462719232195,-0.270547429075834,0.175623096014494,"NS.1402.003.NEBNext_dual_i7_292---NEBNext_dual_i5_244.5069_R1.bam","0",1
0.154904286519339,-0.178014753954222,0.835010528716645,1.16672714646414,-0.904196835435847,-0.669988619856745,"NS.1402.004.NEBNext_dual_i7_220---NEBNext_dual_i5_268.6196_R1.bam","2",4
-0.360414164336936,-0.317766176733101,0.746207384487504,0.495671612838218,-0.0408976212143468,0.00100088243803306,"NS.1402.004.NEBNext_dual_i7_221---NEBNext_dual_i5_269.6199_R1.bam","2",4
-0.421100456846899,-0.196659328222509,0.6779377939584,1.62536280311557,-0.937185041914294,0.881781367493472,"NS.1402.004.NEBNext_dual_i7_222---NEBNext_dual_i5_270.6213_R1.bam","2",4
0.00944843720774536,0.106019095331526,-0.345905589423492,-0.702490182885561,0.404078266324856,-1.47768255354157,"NS.1402.004.NEBNext_dual_i7_223---NEBNext_dual_i5_271.6215_R1.bam","1",3
-1.12532986135992,-0.750210350255743,-0.380540900588981,0.331244463544563,-1.02810662364245,0.107786269271736,"NS.1402.004.NEBNext_dual_i7_224---NEBNext_dual_i5_272.7037_R1.bam","1",3
