gene,log2FC,p_value,FDR
STAU2-AS1,2.5370396278296057,4.1385889374197856e-07,9.654408304569823e-06
CASC8,2.3328694230585065,4.165919573176218e-07,9.664473087164054e-06
LINC01485,2.3649187663455935,4.1920261459231574e-07,9.671603179522713e-06
LINC02858,2.839891856053928,4.2266767031537067e-07,9.698259823247221e-06
LINC01933,1.4491254840195147,4.270239849666249e-07,9.74496583084162e-06
LINC02483,2.3658511695943507,4.3116334586602233e-07,9.767927366460628e-06
LINC02435,2.1960738085506137,4.3268266019568393e-07,9.767927366460628e-06
MIR3681HG,2.245094996012297,4.368116128911887e-07,9.80612741037848e-06
CT69,2.324776654331113,4.3904547586357566e-07,9.80612741037848e-06
FLJ12825,1.8029598858179052,4.422115316043213e-07,9.824583180987011e-06
LINC01229,2.528901086274315,4.46713220719747e-07,9.835012093745491e-06
LINC02147,2.1135060137893182,4.476331608465109e-07,9.835012093745491e-06
LINC02801,2.5971826090398036,4.546187702386179e-07,9.835012093745491e-06
ENOX1-AS1,2.300163961665311,4.574781285226074e-07,9.835012093745491e-06
LINC02405,2.357731095968726,4.5934547360842386e-07,9.835012093745491e-06
HCG25,1.1199997760576068,4.6112307446977694e-07,9.835012093745491e-06
CFLAR-AS1,2.5242898402910092,4.6235230530544496e-07,9.835012093745491e-06
PAUPAR,2.610664980032881,4.625436129437993e-07,9.835012093745491e-06
LINC00320,2.632466961324412,4.637609894169105e-07,9.835012093745491e-06
DSCAS,1.5599836322573355,4.6724531148071263e-07,9.859110868881972e-06
PRMT5-AS1,2.641952478916752,4.777862621257871e-07,9.913793892498873e-06
