gene,log2FC,p_value,FDR
INSC,2.198556424727229,2.781082292936233e-08,8.062771380469752e-06
RMDN2-AS1,2.312981766843924,2.7926352171491572e-08,8.062771380469752e-06
LINC01146,2.2560131385936675,2.8028933204017693e-08,8.062771380469752e-06
AC116096.1,1.66793154571089,2.8241665571533097e-08,8.062771380469752e-06
HRAT17,2.148689812518226,2.8573846881215497e-08,8.093373385914046e-06
CRB1,1.4128826996226844,2.937134823405513e-08,8.178030901596842e-06
ANKRD22,2.606914684675212,2.966908565809563e-08,8.178030901596842e-06
SORCS3,2.4996004499105116,2.980897366463313e-08,8.178030901596842e-06
MAFTRR,1.2175670312274158,3.037563160484932e-08,8.178030901596842e-06
LINC00578,1.8535344648179033,3.053055009671458e-08,8.178030901596842e-06
CORIN,1.9548415944398567,3.063222328844883e-08,8.178030901596842e-06
TRG-AS1,1.6555155506409918,3.079249973472905e-08,8.178030901596842e-06
SNAP25,2.2460076608852555,3.083917720550307e-08,8.178030901596842e-06
AC104051.1,2.555795834940251,3.09188313859994e-08,8.178030901596842e-06
TBR1,2.6506335612534753,3.1511335605556627e-08,8.27168496849684e-06
LINC02384,1.7244792748670261,3.195508730831437e-08,8.27168496849684e-06
LINC00237,2.373088994373726,3.206630375948577e-08,8.27168496849684e-06
RPH3A,2.2953436245699512,3.223304292542147e-08,8.27168496849684e-06
AL596214.1,1.5113156749981693,3.2697549831799924e-08,8.27168496849684e-06
HSD17B2,2.488892853254804,3.290825924886348e-08,8.27168496849684e-06
ACOT12,2.1247067785670257,3.308723582377015e-08,8.27168496849684e-06
CYP19A1,2.4259048057376567,3.320586410308431e-08,8.27168496849684e-06
ZNF396,1.1967147422106634,3.334244191126548e-08,8.27168496849684e-06
LINC00607,2.227283719893334,3.3999924282228436e-08,8.291961869601379e-06
KCNG3,2.305866321081482,3.409160559911578e-08,8.291961869601379e-06
BANK1,1.4609162903914057,3.411571101692995e-08,8.291961869601379e-06
SERPINA10,2.248123535987172,3.46746017693167e-08,8.371240099636648e-06
ASPM,1.5592549261278392,3.522521133629704e-08,8.400480025603264e-06
LINC00841,1.8393185625482347,3.5352811101070904e-08,8.400480025603264e-06
IL12B,2.3423921970610047,3.571351837461494e-08,8.400480025603264e-06
PKHD1,2.096776819270954,3.5729829976573426e-08,8.400480025603264e-06
LINC02516,1.9437406722890402,3.619860715382301e-08,8.455430496995593e-06
LINC01622,2.426242110266569,3.689102816011346e-08,8.476249494899588e-06
GRK7,1.1339036146956252,3.706817149109377e-08,8.476249494899588e-06
AC009236.2,2.105166977679049,3.7172394574242867e-08,8.476249494899588e-06
LINC02412,2.1571773247886843,3.796380635924746e-08,8.476249494899588e-06
GHRHR,2.497253326195724,3.8277977799112935e-08,8.476249494899588e-06
AL359378.1,2.7879516412146597,3.8569496360282253e-08,8.476249494899588e-06
AC008543.1,1.9686616720087116,3.884747908150562e-08,8.476249494899588e-06
ACOXL-AS1,1.37592915710708,3.91073153997369e-08,8.476249494899588e-06
AL592429.2,1.9907353350617505,3.924697518522171e-08,8.476249494899588e-06
PPP2R2B,1.7545298061879657,3.939998875384899e-08,8.476249494899588e-06
LAMA4-AS1,2.5001834430416605,3.940730862647178e-08,8.476249494899588e-06
AC004817.5,2.2905532657357077,3.9484248494597504e-08,8.476249494899588e-06
AC117453.1,2.299723834873974,3.950058245709176e-08,8.476249494899588e-06
FLJ31356,2.2958496112942504,3.975017120907336e-08,8.476249494899588e-06
