gene,log2FC,p_value,FDR
HSPA6,3.9668133078853964,0.2528609594863228,0.36376382462075596
CAAP1,-0.18136418404254326,0.2529022425768484,0.36380866471944295
TAF12,0.24229566984950063,0.25305270157204757,0.36400046376731143
ITGA8,0.3365635318052724,0.253055810015927,0.36400046376731143
MRPS10,-0.21980931886730395,0.2531021900707824,0.36405262030573726
ZNF677,0.22701250225102862,0.2532420087744191,0.3642391659189686
AC097534.1,0.2269149800138075,0.25332207570412485,0.36433975879528124
B3GALNT2,-0.17410771785980594,0.2533401013926206,0.3643511165558671
AL513548.1,2.927354653685138,0.2534603942574047,0.36448812817889914
TLNRD1,0.6444786220083122,0.2534520073093528,0.36448812817889914
PAPSS1,0.4496013027333574,0.2534657657732448,0.36448812817889914
C2orf81,0.6903155006144446,0.2535098586479495,0.3645369617558379
NSUN6,0.23356043943051447,0.2535772849516058,0.3646193426181862
DYNC2LI1,0.24514486231087218,0.2536448422176257,0.36470190519835444
PRKAB2,-0.23447652420388,0.25372567875564256,0.3648035539469193
C1orf159,0.26747815241264994,0.25375762229323334,0.3648237124935151
MSMO1,0.22837593715334992,0.2537599830507128,0.3648237124935151
IER5,0.288491206361352,0.25379258087886275,0.3648414146734784
AC006946.2,0.2044476398943172,0.2537901628693596,0.3648414146734784
EEF1A2,-0.23125581582105612,0.25382520555707133,0.36487373298829007
POMT2,0.350717627283506,0.2539390348023316,0.3650081898789048
LINC00899,-0.20969017193054262,0.2539350605575598,0.3650081898789048
TEX2,-0.20272164592544642,0.25416253426623336,0.36531484726994634
MBOAT7,0.5163105583261163,0.25421159701828877,0.3653707674581223
AC005332.6,-0.21318491100435394,0.2542222764831247,0.36537151822489755
SDR39U1,-0.17631009534323674,0.2542681852058495,0.3654228988503722
CRY2,-0.20264895566982458,0.25428328880485984,0.36543000538885456
PELI2,0.27611654976054634,0.25456391496365355,0.3658186780549914
AC135048.2,0.3215335925004569,0.2545974586553102,0.3658522663184124
AC107027.3,-0.1833504912215144,0.2547772190812889,0.3660959544935737
ZNF232,0.27441141395704,0.25480423017052684,0.3661201425082561
FPGT-TNNI3K,0.2183186182508305,0.25491836764920994,0.3662695127447428
MSI2,-0.19437488346259546,0.2549298536996767,0.36627138623975597
KIF3B,0.377382474559761,0.25499947856928307,0.36634215596047165
AC245060.7,0.25213905024663386,0.25499648574966843,0.36634215596047165
ANXA1,0.6986404941657769,0.2551045246509538,0.3664784329370651
GBA2,-0.1992773342510472,0.2551985717193477,0.36659889868169704
CDK11A,0.26784524407241905,0.25523947313477535,0.36664301284259
ZNF107,0.28120468646660385,0.25528249951120063,0.3666901757943101
H1-3,0.42470495617089415,0.2554272190062912,0.3668834020960831
SAE1,0.24025259273350516,0.2555164746259692,0.3669969504989165
THBS1,1.537169837412175,0.25556670302215867,0.36705443747956124
AC118658.1,0.30865655957214694,0.25566512200445246,0.3671811302249437
FSD2,-0.2584278824678723,0.2556851534243146,0.3671952387008721
MITD1,0.260735851379723,0.2557481466225562,0.36727104197000243
MARK4,0.2561965455974548,0.25577026681529363,0.36728814522474024
PRPS2,0.5964601664451176,0.25581033864418545,0.36733102477779883
CCN2,0.7787300532918092,0.2558612528245101,0.367389469367846
MELTF-AS1,0.3934831311428092,0.2559299981981897,0.36747351196205164
PMM2,0.26686514082341295,0.25600913817273235,0.36757247219404204
ID2,0.5962694633833396,0.2561708048961936,0.3677899099471513
RPS6KA4,0.28944885925690256,0.2561875514866466,0.3677992737099957
AC090115.1,0.22433643591219465,0.2562517171649136,0.3678767118911391
ASB12,-0.2504452203440426,0.2562892304561031,0.3679158830699553
RNF19B,0.3962950129877055,0.25640111603107923,0.36806181195857707
WDR46,0.26666570636094,0.25651639585169256,0.36821260141967616
ALDH9A1,-0.20743778334936197,0.2565884608062437,0.36830134919285734
SLURP2,0.7276823525037924,0.25662825551261803,0.36834377173808536
CCDC174,0.20663606460193656,0.25680142473254464,0.3685776184207436
CDC42SE1,0.38475442168761426,0.25686130349053693,0.36864393686593666
RHOD,0.6854322078613103,0.2568681273641917,0.36864393686593666
GPATCH11,0.2169374860157302,0.2569751604751408,0.3687828322273902
AC048344.4,0.36209760677230224,0.2570669196677847,0.3688997979131748
SNHG11,0.22168523448676722,0.25708093229627005,0.36890518974634695
H4C4,0.3304014631710673,0.257119302731318,0.3689455326439416
SNUPN,0.18737853131619384,0.2571745186557364,0.36901004328217585
ZNF7,-0.1938357165522277,0.25725996093696696,0.369117917706696
XYLT1,0.7776942748761757,0.25731059605153067,0.36917584401586073
BRCA1,0.20258334033975678,0.25734942532605776,0.3692168279754696
AKAP12,0.7654178289727646,0.257476785406845,0.3693848179251427
H3C11,0.7282833509310669,0.25755388020708914,0.36948068509708515
CYB5R4,0.22777886929832464,0.2576271337141118,0.36957103421454895
DNAH10OS,0.2563874737525268,0.25766849771085876,0.36961563184013285
AL513478.4,0.4882430632848139,0.25775878818028547,0.369730406269289
AC144652.1,0.4686438864185956,0.25782960639873354,0.36981724157164336
TNIP2,0.3181625300484771,0.2578490056771841,0.369830320263942
RAB7B,0.9279422343165652,0.25786776498365943,0.3698424800443442
CROT,0.22622759553490437,0.2579742793775742,0.3699804950869189
PCDH7,1.052108349841732,0.25804042394040483,0.3700606039941092
IFI16,0.8553254128937072,0.25815577920887806,0.3701965194220356
TMED4,-0.2030198691677234,0.25815250357417785,0.3701965194220356
GOLGA8Q,0.386335544910633,0.25816980023475566,0.3702018677367707
LRRC8B,0.2922691132547966,0.2582199336076305,0.37025899676062046
KTI12,0.22815547453040166,0.2582860392056403,0.3703242617204868
KDM6B,0.8703232489380128,0.25828059622372784,0.3703242617204868
PIGT,0.30740714948246106,0.2584279937791144,0.3705130247996135
BAMBI,0.34827561093971443,0.2585102731206678,0.37061621875161066
CCDC32,0.2615502038078936,0.25855779103167215,0.3706695703407983
SNRPG,0.1749684635723633,0.25863372823952446,0.3707636580812248
AL031708.1,0.29263916222341685,0.2589004372017114,0.37112566685417775
ZNF17,-0.16983118653245471,0.2589068889610139,0.37112566685417775
