sample_id,Alkaliptosis,Anoikis,Apoptosis,Autophagy,Cuproptosis,Disulfidptosis,Entosis,Ferroptosis,Lysosome_dependent_cell_death,Necroptosis,NETosis,Oxeiptosis,Parthanatos,Pyroptosis,adjusted_two_block_K4,geo_accession,title,subgroup
AB_31,-0.36612470183668366,0.2648544760877338,-0.27997291115871903,0.8992915958313786,0.14414899684280985,0.43357173778951136,0.7787034529427657,-0.019583882492082677,0.5033336481252436,0.17751537475874932,0.3497084252687203,0.856455350170593,-1.3234886673458448,0.22944677065562197,C3,GSM8059517,"AB_31, Pancreas",Pancreas
AB_32,0.28207494388885784,-1.069552962302132,0.7143714732219948,0.53676312225369,0.4887576706390948,-0.6826112438277635,0.367117072865785,-0.04514892802460714,-1.2018511554725504,-0.3089841684917044,0.24218991666934564,-0.6042358170184414,1.1604675743252648,-0.7855807890072631,C3,GSM8059518,"AB_32, Colorectal",Colorectal
AB_33,1.404033266633279,0.34297968839673965,2.30913082901279,-0.3119830722943089,-0.6566577242135551,-0.1108947287326203,-0.07783115870593611,0.987871160871052,0.43758529577017374,1.0169187742312038,1.883003196231372,-0.270722254400412,-0.2317911540606863,0.3238118214898582,C3,GSM8059519,"AB_33, Colorectal",Colorectal
AB_34,0.7737136510276585,0.5168730401572629,-0.949756111422422,0.12906195791155067,0.28686861222178806,-0.13062717567432514,0.19733753759079622,1.9967473514735017,-0.00387645676967477,-0.4956359590555435,-1.202347546801768,1.3881751844042907,0.0449413735397346,-0.19770937799289956,C3,GSM8059520,"AB_34, Pancreas",Pancreas
AB_35,-0.5983875933510218,-1.1577458277680412,-0.1614133674103623,0.36114599532293395,0.10098524235880489,-0.07982660372182483,-0.6934108981364085,-0.406710374095965,-0.5081388650312982,-0.5856625781285842,0.04616323893423971,-0.5604888158304236,0.48297997364774864,-1.2887383524049214,C4,GSM8059521,"AB_35, Colorectal",Colorectal
AB_36,0.7617432034365702,1.1771932504978628,0.2094252594404681,0.6327305408440533,0.2774389646566515,0.3688019151324067,-0.4861019452544667,-0.8826095937644621,0.7117876237301952,0.45820935161313187,0.47337818048330177,1.43315518350071,0.3086319333919618,0.26432179793304117,C2,GSM8059522,"AB_36, Pancreas",Pancreas
AB_37,-0.07240987342859337,-0.7819552724164948,-0.9824156198208168,0.7620668234886916,1.370546557322531,-1.877325254551513,-0.9086422389586583,0.2505034645892708,-0.7657890228721679,-0.05424340356099157,-0.8390499431754301,0.08254378803275951,1.449517100545866,-1.7209932401225359,C1,GSM8059523,"AB_37, Colorectal",Colorectal
AB_38,-1.387026918622391,0.7405733957068429,0.05225113825689667,-0.035816193021022014,0.7583506255477064,-0.22655332352736743,-1.2969670212334679,-0.8792808771000745,-0.7962174924358068,-0.4914306857630307,-0.02730100362864478,0.6787130122930508,0.9778146305864354,-0.16934368522346407,C1,GSM8059524,"AB_38, Colorectal",Colorectal
AB_39,-0.11453995406105487,-0.8452205194095537,-0.7014923047994928,1.1766962627843818,0.42662838781027745,-0.15471032973059456,-0.02035004886154894,-0.8697996632368933,-0.144502923788491,-0.12006560060957111,-0.2703832190372782,1.5845487939113057,-0.45824782690172916,-0.053285964627606854,C2,GSM8059525,"AB_39, Pancreas",Pancreas
AB_40,-1.409196801463218,-0.17429163619991364,-0.3733023766617579,-0.9205286842124243,0.7049062550145063,-0.7464617499256194,-0.06849465622880437,1.0122270161117572,-0.1782020188822874,-0.13696121636113065,-0.186018805959662,0.677031783832749,0.9429789383348455,0.33013906755914874,C3,GSM8059526,"AB_40, Colorectal",Colorectal
AB_41,-1.079821060435152,0.9287096718497466,-0.40328533734679534,0.6644478620268688,1.1650393239994197,-0.21379953706785423,-0.8535059192486462,0.05390152839874607,-0.1343414040893253,-0.8621857038275688,0.6910124780738357,0.5078889903043188,1.192513466988254,-0.3006886928026724,C2,GSM8059527,"AB_41, Pancreas",Pancreas
AB_42,0.10122035892862453,0.33019169324881675,-0.3561762334227914,0.1022842584644471,0.6417614630995924,-0.4568409076582137,-1.503832920346527,-1.2145561478316351,-0.5586190720336509,-0.624366305392217,-0.32352478629309916,-0.5937341900424682,0.9709763033452475,-0.3687774691938656,C1,GSM8059528,"AB_42, Pancreas",Pancreas
AB_43,0.03978940050941859,0.34822613679878317,-0.9620834453567965,0.1063288669861148,1.2551416847936259,-0.5634843659631349,-0.4991005252467376,0.5313301658683723,-0.8448775319388321,-0.5437553640476208,0.11306779933380831,-0.2335946669455202,0.43851605924010223,-0.23455683827707263,C3,GSM8059529,"AB_43, Colorectal",Colorectal
AB_44,0.2829110823477629,0.8828163159049485,-0.10144825861971721,0.4087907457336957,-0.5672973740295906,-0.9830012051414463,-0.7800997382627919,-1.4693478628237935,0.5258449293256114,-0.40883461676027566,0.2753829872309592,-0.17758453576188765,0.1367615454977037,-0.6207730736252101,C4,GSM8059530,"AB_44, Pancreas",Pancreas
AB_45,-0.9558597006544785,0.5077515757398627,-0.8976765571874741,-0.293041666485801,-0.03196500429151079,0.03840389374817125,0.9913893541946259,-1.6401838724026243,0.8778529737546975,-0.49847630265701964,0.6780437379639871,-0.3092686329088049,-0.5139483562632579,0.6247280310372941,C2,GSM8059531,"AB_45, Pancreas",Pancreas
AB_46,-0.22980593873855745,2.9730001122513605,-1.0107606085389174,0.30567696203451417,-0.06061543387176859,-0.09378731641759863,-0.47533926263469667,-1.6795798497425385,0.4117657555935334,0.033494587487363614,1.4315048289215149,0.14285150061080293,0.412459658920057,0.17861784516763674,C2,GSM8059532,"AB_46, Pancreas",Pancreas
