sample_id,RNA_library_size,log10_RNA_library_size,RNA_detected_features,RNA_zero_fraction,lncRNA_library_size,log10_lncRNA_library_size,lncRNA_detected_features,lncRNA_zero_fraction,smallRNA_library_size,log10_smallRNA_library_size,smallRNA_detected_features,smallRNA_zero_fraction,geo_accession,title,subgroup
AB_52,30278836,7.48113919004262,17950,0.07540949830019573,1129046,6.052712021124075,3261,0.22338652060014288,4084920,6.6111836619465665,1946,0.30673316708229426,GSM8059538,"AB_52, Colorectal",Colorectal
AB_53,29188532,7.465212268128984,17731,0.08669001751313485,630049,5.799375015901908,3004,0.28459156942129077,3757265,6.574871942532861,1750,0.3765586034912718,GSM8059539,"AB_53, Pancreas",Pancreas
AB_54,33123900,7.52014147796212,18186,0.0632533223446997,664224,5.822315217479953,3516,0.16265777566087164,2273917,6.3567747994943655,1837,0.3455646597791236,GSM8059540,"AB_54, Colorectal",Colorectal
AB_55,18217768,7.260495190951222,18837,0.029720820026784795,556578,5.745526816162285,3914,0.06787330316742081,4558412,6.65881367044845,1847,0.34200213751335945,GSM8059541,"AB_55, Pancreas",Pancreas
AB_56,13566298,7.1324613846454925,19137,0.014268053981662717,350671,5.544901090287097,4097,0.024291497975708502,1676725,6.224462098735867,1687,0.39900249376558605,GSM8059542,"AB_56, Colorectal",Colorectal
AB_57,32639498,7.5137434839297,17252,0.11136293396517977,845759,5.927247141451616,2740,0.3474636818290069,5308720,6.724989901580676,2037,0.2743142144638404,GSM8059543,"AB_57, Colorectal",Colorectal
AB_58,33471659,7.524677251376681,18623,0.040743793138971876,822394,5.9150804612341155,3779,0.10002381519409383,2223106,6.346960366158837,1700,0.39437121482009263,GSM8059544,"AB_58, Pancreas",Pancreas
AB_59,32302173,7.5092317521896526,16407,0.15488822499227362,771122,5.8871236568586625,2194,0.47749464158132887,3591766,6.555308155975122,1948,0.3060206626291414,GSM8059545,"AB_59, Colorectal",Colorectal
AB_60,35221640,7.546809586175338,18477,0.04826413928093129,844820,5.92676470072805,3712,0.11597999523696118,5819509,6.7648864187985325,2132,0.24047025293908086,GSM8059546,"AB_60, Colorectal",Colorectal
AB_61,26536292,7.423840253792579,16211,0.16498403214175336,477158,5.678663119745304,2116,0.4960704929745177,8100580,6.90851616900766,2284,0.1863199144994656,GSM8059547,"AB_61, Colorectal",Colorectal
AB_62,39243789,7.593770943065789,17544,0.09632224168126094,1027710,6.011871004979349,2866,0.31745653727077877,6062165,6.782627824459339,2144,0.23619522622016387,GSM8059548,"AB_62, Colorectal",Colorectal
AB_63,18327784,7.263109981579569,19244,0.008756567425569177,516752,5.7132830065952405,4161,0.00904977375565611,1644932,6.216148213335919,1622,0.4221588884930531,GSM8059549,"AB_63, Pancreas",Pancreas
AB_64,14149907,7.150753616169692,18946,0.02410631503039044,432200,5.635685767392154,3967,0.05525125029768992,4576439,6.660527772862246,1900,0.3231207695048094,GSM8059550,"AB_64, Colorectal",Colorectal
AB_65,27808733,7.444181217942578,18873,0.027866488101370147,662099,5.8209235878813175,3925,0.06525363181709931,2936565,6.467839766157588,1780,0.36587103669397936,GSM8059551,"AB_65, Colorectal",Colorectal
AB_66,17804731,7.25053544098151,18454,0.04944885134439064,495042,5.694642923886391,3657,0.1290783519885687,3098537,6.491156826640003,1859,0.33772711079444245,GSM8059552,"AB_66, Pancreas",Pancreas
AB_67,37774041,7.57719345886442,17633,0.09173792108787474,837133,5.922794981054974,3035,0.2772088592522029,3615574,6.558177374789357,1983,0.2935518346989669,GSM8059553,"AB_67, Colorectal",Colorectal
AB_68,27835073,7.444592380223483,17873,0.07937570825177707,507877,5.705759400689324,3094,0.2631578947368421,1106233,6.043847002339137,1718,0.38795867474171714,GSM8059554,"AB_68, Colorectal",Colorectal
AB_69,43137727,7.634857267724178,19200,0.011022973112187081,1314892,6.118890413357906,4139,0.01428911645629912,2836224,6.452740680806646,1708,0.3915211970074813,GSM8059555,"AB_69, Pancreas",Pancreas
AB_70,40919131,7.611926412635223,17453,0.10100958071494798,1022034,6.009465768642719,2816,0.3293641343176947,2538835,6.404634647862535,1895,0.32490203063769146,GSM8059556,"AB_70, Colorectal",Colorectal
AB_71,23497273,7.371017481189676,18424,0.05099412794890285,558421,5.7469625197340015,3607,0.14098594903548464,1815068,6.258893139427039,1773,0.3683648022800142,GSM8059557,"AB_71, Colorectal",Colorectal
AB_72,31151108,7.49347351244004,17966,0.07458535077778923,563263,5.750711994975868,3274,0.22029054536794476,4271296,6.630559770672104,2091,0.2550765942287139,GSM8059558,"AB_72, Colorectal",Colorectal
AB_73,23091323,7.363448835013712,19123,0.014989183063768414,636264,5.803638033993836,4099,0.023815194093831864,2111351,6.324560643972605,1945,0.3070894193088707,GSM8059559,"AB_73, Colorectal",Colorectal
